count_star(),unified_acl_codes,wave
20202,AC0,2000_2010
20202,AC01,2000_2010
47544,AC02,2000_2010
20202,AC03,2000_2010
20202,AC111,2000_2010
20202,AC12,2000_2010
20202,AC11-12,2000_2010
20202,AC2,2000_2010
20202,AC212,2000_2010
20202,AC21_X_212,2000_2010
20166,AC22,2000_2010
20202,AC3,2000_2010
20202,AC312,2000_2010
20202,AC31_X_312,2000_2010
21210,AC321,2000_2010
20202,AC32_X_321,2000_2010
20202,AC331,2000_2010
20202,AC332,2000_2010
20202,AC33,2000_2010
20148,AC342,2000_2010
20202,AC343,2000_2010
20166,AC344,2000_2010
20202,AC341_349,2000_2010
20202,AC35,2000_2010
20202,AC36,2000_2010
20202,AC37,2000_2010
20202,AC38_X_382-383,2000_2010
20202,AC382_383,2000_2010
20202,AC4-8_998_X_713,2000_2010
20202,AC998,2000_2010
20202,AC41,2000_2010
20202,AC42,2000_2010
20202,AC43,2000_2010
29256,AC512_513_519,2000_2010
29256,AC519,2000_2010
20202,AC52,2000_2010
29256,AC53,2000_2010
20202,AC611,2000_2010
20202,AC6_X_611,2000_2010
20166,AC733,2000_2010
20202,AC72,2000_2010
20202,AC711_712_719_731_732_739,2000_2010
20202,AC811,2000_2010
20202,AC812,2000_2010
47526,AC82,2000_2010
29274,AC83,2000_2010
20166,AC900,2000_2010
20202,AC910,2000_2010
20166,AC936,2000_2010
20202,AC938,2000_2010
20202,AC999,2000_2010
20202,AC9_X_910,2000_2010
20202,AC920,2000_2010
20166,AC939,2000_2010
20166,AC940-980,2000_2010
47256,TOTAL,2000_2010
9054,AC38,2000_2010
9054,AC3_713_X_38,2000_2010
9018,AC511,2000_2010
9072,AC81,2000_2010
1584,"",2000_2010
396,AC_NP_MAIN,2000_2010
792,AC_NP_SEC,2000_2010
18270,AC0_X_021,2000_2010
18270,AC1_2,2000_2010
18270,AC3_713_936,2000_2010
18270,AC4-8_998_X_713_821,2000_2010
18270,AC910_920,2000_2010
18270,AC9,2000_2010
396,AC_PNP_MAIN,2000_2010
4716,AC0,2020
4716,AC01,2020
9768,AC021,2020
4716,AC03,2020
4716,AC1,2020
4716,AC2,2020
4716,AC212,2020
4716,AC21_X_212,2020
4716,AC221,2020
4716,AC300_371,2020
4716,AC312,2020
4716,AC31_X_312,2020
4716,AC321,2020
4716,AC32_X_321,2020
4716,AC33,2020
4716,AC34,2020
4716,AC35,2020
4716,AC36,2020
4716,AC382_383,2020
4716,AC38_X_382-383,2020
4716,AC39,2020
4716,AC3_713,2020
4716,AC4,2020
4716,AC4-8_998_X_713,2020
6723,AC511,2020
6723,AC512_513_519,2020
6723,AC514-516,2020
4716,AC52,2020
6723,AC531,2020
4716,AC611,2020
4716,AC6_X_611,2020
4716,AC711_712_719_731_732_739,2020
6723,AC72,2020
4716,AC733-735,2020
4716,AC812,2020
4716,AC81_X_812,2020
9768,AC821,2020
6723,AC831,2020
4716,AC9,2020
4716,AC900,2020
4716,AC910,2020
4716,AC920,2020
4716,AC936,2020
4716,AC938_939,2020
4716,AC940-980,2020
7761,AC995-999,2020
9768,TOTAL,2020
2007,AC121,2020
2007,AC38,2020
2007,AC3_713_X_38,2020
2007,AC81,2020
6813,"",2020
3045,AC0_X_021,2020
3045,AC1_2,2020
3045,AC3_713_936-980,2020
3045,AC4-8_998_X_713_821,2020
3045,AC910_920,2020
