freq,unit,sex,age,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,TOTAL,AC02,AT	: 	36.6 
A,PTP_RT,F,TOTAL,AC02,BE	30.2 	23.6 
A,PTP_RT,F,TOTAL,AC02,BG	27.0 	: 
A,PTP_RT,F,TOTAL,AC02,DE	18.8 	30.1 
A,PTP_RT,F,TOTAL,AC02,EE	3.1 	19.1 
A,PTP_RT,F,TOTAL,AC02,EL	: 	20.6 
A,PTP_RT,F,TOTAL,AC02,ES	20.5 	11.2 
A,PTP_RT,F,TOTAL,AC02,FI	35.4 	36.6 
A,PTP_RT,F,TOTAL,AC02,FR	3.7 	10.8 
A,PTP_RT,F,TOTAL,AC02,HU	: 	21.4 
A,PTP_RT,F,TOTAL,AC02,IT	6.2 	12.9 
A,PTP_RT,F,TOTAL,AC02,LT	17.9 	: 
A,PTP_RT,F,TOTAL,AC02,LU	: 	20.5 
A,PTP_RT,F,TOTAL,AC02,LV	15.5 	: 
A,PTP_RT,F,TOTAL,AC02,NL	: 	39.3 
A,PTP_RT,F,TOTAL,AC02,NO	13.6 	20.7 
A,PTP_RT,F,TOTAL,AC02,PL	27.1 	10.0 
A,PTP_RT,F,TOTAL,AC02,RO	: 	11.0 
A,PTP_RT,F,TOTAL,AC02,RS	: 	27.4 
A,PTP_RT,F,TOTAL,AC02,SI	13.5 	: 
A,PTP_RT,F,TOTAL,AC02,TR	: 	0.0 
A,PTP_RT,F,TOTAL,AC02,UK	46.2 	44.1 
A,PTP_RT,F,TOTAL,AC38,AT	: 	13.6 
A,PTP_RT,F,TOTAL,AC38,BE	9.1 	11.2 
A,PTP_RT,F,TOTAL,AC38,BG	13.0 	: 
A,PTP_RT,F,TOTAL,AC38,DE	16.2 	13.7 
A,PTP_RT,F,TOTAL,AC38,EE	23.8 	16.6 
A,PTP_RT,F,TOTAL,AC38,EL	: 	5.6 
A,PTP_RT,F,TOTAL,AC38,ES	: 	8.9 
A,PTP_RT,F,TOTAL,AC38,FI	19.3 	14.0 
A,PTP_RT,F,TOTAL,AC38,FR	3.4 	8.7 
A,PTP_RT,F,TOTAL,AC38,HU	: 	4.8 
A,PTP_RT,F,TOTAL,AC38,IT	14.2 	11.3 
A,PTP_RT,F,TOTAL,AC38,LT	10.4 	: 
A,PTP_RT,F,TOTAL,AC38,LU	: 	6.1 
A,PTP_RT,F,TOTAL,AC38,LV	14.7 	: 
A,PTP_RT,F,TOTAL,AC38,NL	: 	11.5 
A,PTP_RT,F,TOTAL,AC38,NO	18.5 	11.3 
A,PTP_RT,F,TOTAL,AC38,PL	11.7 	16.5 
A,PTP_RT,F,TOTAL,AC38,RO	: 	2.9 
A,PTP_RT,F,TOTAL,AC38,RS	: 	8.9 
A,PTP_RT,F,TOTAL,AC38,SI	13.9 	: 
A,PTP_RT,F,TOTAL,AC38,TR	: 	0.0 
A,PTP_RT,F,TOTAL,AC38,UK	22.1 	15.3 
A,PTP_RT,F,TOTAL,AC3_X_38,AT	: 	27.7 
A,PTP_RT,F,TOTAL,AC3_X_38,BE	25.4 	22.3 
A,PTP_RT,F,TOTAL,AC3_X_38,BG	12.2 	: 
A,PTP_RT,F,TOTAL,AC3_X_38,DE	31.2 	35.0 
A,PTP_RT,F,TOTAL,AC3_X_38,EE	28.1 	15.6 
A,PTP_RT,F,TOTAL,AC3_X_38,EL	: 	11.2 
A,PTP_RT,F,TOTAL,AC3_X_38,ES	: 	14.1 
A,PTP_RT,F,TOTAL,AC3_X_38,FI	28.2 	25.9 
A,PTP_RT,F,TOTAL,AC3_X_38,FR	7.6 	18.5 
A,PTP_RT,F,TOTAL,AC3_X_38,HU	: 	13.0 
A,PTP_RT,F,TOTAL,AC3_X_38,IT	15.6 	12.9 
A,PTP_RT,F,TOTAL,AC3_X_38,LT	14.7 	: 
A,PTP_RT,F,TOTAL,AC3_X_38,LU	: 	18.0 
A,PTP_RT,F,TOTAL,AC3_X_38,LV	15.0 	: 
A,PTP_RT,F,TOTAL,AC3_X_38,NL	: 	35.0 
A,PTP_RT,F,TOTAL,AC3_X_38,NO	23.8 	24.7 
A,PTP_RT,F,TOTAL,AC3_X_38,PL	12.4 	11.0 
A,PTP_RT,F,TOTAL,AC3_X_38,RO	: 	3.6 
A,PTP_RT,F,TOTAL,AC3_X_38,RS	: 	16.1 
A,PTP_RT,F,TOTAL,AC3_X_38,SI	12.9 	: 
A,PTP_RT,F,TOTAL,AC3_X_38,TR	: 	0.0 
A,PTP_RT,F,TOTAL,AC3_X_38,UK	35.9 	48.6 
A,PTP_RT,F,TOTAL,AC511,AT	: 	39.6 
A,PTP_RT,F,TOTAL,AC511,BE	47.8 	29.6 
A,PTP_RT,F,TOTAL,AC511,BG	71.5 	: 
A,PTP_RT,F,TOTAL,AC511,DE	48.4 	100 
A,PTP_RT,F,TOTAL,AC511,EE	42.7 	38.4 
A,PTP_RT,F,TOTAL,AC511,EL	: 	50.2 
