freq,unit,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,AT	: 	97.8 
A,PTP_RT,BE	93.1 	97.2 
A,PTP_RT,BG	94.9 	: 
A,PTP_RT,DE	97.2 	98.1 
A,PTP_RT,EE	91.3 	95.7 
A,PTP_RT,EL	: 	87.3 
A,PTP_RT,ES	85.2 	94.5 
A,PTP_RT,FI	: 	92.4 
A,PTP_RT,FR	: 	95.8 
A,PTP_RT,HU	: 	100 
A,PTP_RT,IT	80.5 	94.9 
A,PTP_RT,LT	97.9 	: 
A,PTP_RT,LU	: 	98.8 
A,PTP_RT,LV	93.7 	: 
A,PTP_RT,NL	: 	92.8 
A,PTP_RT,NO	95.1 	99.3 
A,PTP_RT,PL	95.9 	98.5 
A,PTP_RT,RO	: 	94.7 
A,PTP_RT,RS	: 	99.5 
A,PTP_RT,SI	95.3 	: 
A,PTP_RT,TR	: 	99.6 
A,PTP_RT,UK	67.2 	89.9 
A,PTP_TIME,AT	: 	6:11 
A,PTP_TIME,BE	4:45 	6:44 
A,PTP_TIME,BG	4:49 	: 
A,PTP_TIME,DE	5:34 	6:49 
A,PTP_TIME,EE	4:43 	9:24 
A,PTP_TIME,EL	: 	4:23 
A,PTP_TIME,ES	3:43 	5:37 
A,PTP_TIME,FI	: 	7:12 
A,PTP_TIME,FR	: 	6:48 
A,PTP_TIME,HU	: 	17:32 
A,PTP_TIME,IT	3:39 	5:00 
A,PTP_TIME,LT	5:17 	: 
A,PTP_TIME,LU	: 	7:09 
A,PTP_TIME,LV	4:37 	: 
A,PTP_TIME,NL	: 	6:26 
A,PTP_TIME,NO	3:57 	7:21 
A,PTP_TIME,PL	4:39 	6:48 
A,PTP_TIME,RO	: 	6:50 
A,PTP_TIME,RS	: 	8:01 
A,PTP_TIME,SI	4:44 	: 
A,PTP_TIME,TR	: 	7:38 
A,PTP_TIME,UK	3:39 	5:08 
A,TIME_SP,AT	: 	6:03 
A,TIME_SP,BE	4:25 	6:33 
A,TIME_SP,BG	4:34 	: 
A,TIME_SP,DE	5:25 	6:41 
A,TIME_SP,EE	4:19 	9:00 
A,TIME_SP,EL	: 	3:49 
A,TIME_SP,ES	3:10 	5:19 
A,TIME_SP,FI	: 	6:40 
A,TIME_SP,FR	: 	6:31 
A,TIME_SP,HU	: 	17:32 
A,TIME_SP,IT	2:56 	4:45 
A,TIME_SP,LT	5:10 	: 
A,TIME_SP,LU	: 	7:04 
A,TIME_SP,LV	4:20 	: 
A,TIME_SP,NL	: 	5:58 
A,TIME_SP,NO	3:45 	7:18 
A,TIME_SP,PL	4:27 	6:42 
A,TIME_SP,RO	: 	6:28 
A,TIME_SP,RS	: 	7:59 
A,TIME_SP,SI	4:30 	: 
A,TIME_SP,TR	: 	7:36 
A,TIME_SP,UK	2:27 	4:37 
