freq,unit,sex,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,AT	: 	27.9 
A,PTP_RT,F,BE	29.3 	19.8 
A,PTP_RT,F,BG	24.8 	: 
A,PTP_RT,F,DE	30 	20.6 
A,PTP_RT,F,EE	41 	27.7 
A,PTP_RT,F,EL	: 	18.5 
A,PTP_RT,F,ES	25.7 	27.5 
A,PTP_RT,F,FI	27.3 	25.5 
A,PTP_RT,F,FR	28.4 	26.3 
A,PTP_RT,F,HU	: 	23.2 
A,PTP_RT,F,IT	27.8 	24.0 
A,PTP_RT,F,LT	28.5 	: 
A,PTP_RT,F,LU	: 	0.0 
A,PTP_RT,F,LV	30 	: 
A,PTP_RT,F,NL	: 	0.0 
A,PTP_RT,F,NO	33.8 	29.3 
A,PTP_RT,F,PL	31.3 	29.6 
A,PTP_RT,F,RO	: 	16.5 
A,PTP_RT,F,RS	: 	22.1 
A,PTP_RT,F,SI	34.1 	: 
A,PTP_RT,F,TR	: 	0.0 
A,PTP_RT,F,UK	33.3 	30.0 
A,PTP_RT,M,AT	: 	23.9 
A,PTP_RT,M,BE	22.4 	15.3 
A,PTP_RT,M,BG	17.6 	: 
A,PTP_RT,M,DE	24.6 	15.9 
A,PTP_RT,M,EE	29.4 	18.6 
A,PTP_RT,M,EL	: 	17.0 
A,PTP_RT,M,ES	21 	24.1 
A,PTP_RT,M,FI	16.2 	19.4 
A,PTP_RT,M,FR	13.9 	16.9 
A,PTP_RT,M,HU	: 	17.3 
A,PTP_RT,M,IT	22.9 	18.7 
A,PTP_RT,M,LT	22.6 	: 
A,PTP_RT,M,LU	: 	0.0 
A,PTP_RT,M,LV	17.4 	: 
A,PTP_RT,M,NL	: 	0.0 
A,PTP_RT,M,NO	26.7 	23.9 
A,PTP_RT,M,PL	25.3 	20.8 
A,PTP_RT,M,RO	: 	11.5 
A,PTP_RT,M,RS	: 	17.9 
A,PTP_RT,M,SI	24.9 	: 
A,PTP_RT,M,TR	: 	0.0 
A,PTP_RT,M,UK	24.5 	21.7 
A,PTP_RT,T,AT	: 	25.9 
A,PTP_RT,T,BE	26 	17.6 
A,PTP_RT,T,BG	21.4 	: 
A,PTP_RT,T,DE	27.4 	18.3 
A,PTP_RT,T,EE	35.7 	23.5 
A,PTP_RT,T,EL	: 	17.8 
A,PTP_RT,T,ES	23.4 	25.8 
A,PTP_RT,T,FI	22 	22.5 
A,PTP_RT,T,FR	21.3 	21.7 
A,PTP_RT,T,HU	: 	20.4 
A,PTP_RT,T,IT	25.4 	21.4 
A,PTP_RT,T,LT	25.8 	: 
