freq,unit,sex,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,AC_NP_MAIN,AT	: 	96.3 
A,PTP_RT,F,AC_NP_MAIN,BE	96.4 	95.4 
A,PTP_RT,F,AC_NP_MAIN,BG	96.7 	: 
A,PTP_RT,F,AC_NP_MAIN,DE	97 	96.3 
A,PTP_RT,F,AC_NP_MAIN,EE	97.9 	95.6 
A,PTP_RT,F,AC_NP_MAIN,EL	: 	94.8 
A,PTP_RT,F,AC_NP_MAIN,ES	95.7 	94.9 
A,PTP_RT,F,AC_NP_MAIN,FI	98.4 	97.2 
A,PTP_RT,F,AC_NP_MAIN,FR	97.1 	94.7 
A,PTP_RT,F,AC_NP_MAIN,HU	: 	97.4 
A,PTP_RT,F,AC_NP_MAIN,IT	95.8 	95.5 
A,PTP_RT,F,AC_NP_MAIN,LT	97.9 	: 
A,PTP_RT,F,AC_NP_MAIN,LU	: 	94.6 
A,PTP_RT,F,AC_NP_MAIN,LV	95.7 	: 
A,PTP_RT,F,AC_NP_MAIN,NL	: 	96.1 
A,PTP_RT,F,AC_NP_MAIN,NO	98.4 	98.3 
A,PTP_RT,F,AC_NP_MAIN,PL	98.5 	97.9 
A,PTP_RT,F,AC_NP_MAIN,RO	: 	96.3 
A,PTP_RT,F,AC_NP_MAIN,RS	: 	96.6 
A,PTP_RT,F,AC_NP_MAIN,SI	97.2 	: 
A,PTP_RT,F,AC_NP_MAIN,TR	: 	95.0 
A,PTP_RT,F,AC_NP_MAIN,UK	97.2 	96.5 
A,PTP_RT,F,AC_NP_SEC,AT	: 	47.5 
A,PTP_RT,F,AC_NP_SEC,BE	30.8 	32.3 
A,PTP_RT,F,AC_NP_SEC,BG	23.1 	: 
A,PTP_RT,F,AC_NP_SEC,DE	45.6 	41.7 
A,PTP_RT,F,AC_NP_SEC,EE	42.6 	37.7 
A,PTP_RT,F,AC_NP_SEC,EL	: 	27.8 
A,PTP_RT,F,AC_NP_SEC,ES	: 	20.6 
A,PTP_RT,F,AC_NP_SEC,FI	39.7 	49.3 
A,PTP_RT,F,AC_NP_SEC,FR	11 	19.2 
A,PTP_RT,F,AC_NP_SEC,HU	: 	25.3 
A,PTP_RT,F,AC_NP_SEC,IT	25.3 	25.8 
A,PTP_RT,F,AC_NP_SEC,LT	21.9 	: 
A,PTP_RT,F,AC_NP_SEC,LU	: 	25.2 
A,PTP_RT,F,AC_NP_SEC,LV	23.6 	: 
A,PTP_RT,F,AC_NP_SEC,NL	: 	48.5 
A,PTP_RT,F,AC_NP_SEC,NO	34.8 	30.8 
A,PTP_RT,F,AC_NP_SEC,PL	21.6 	26.9 
A,PTP_RT,F,AC_NP_SEC,RO	: 	13.7 
A,PTP_RT,F,AC_NP_SEC,RS	: 	36.2 
A,PTP_RT,F,AC_NP_SEC,SI	22.4 	: 
A,PTP_RT,F,AC_NP_SEC,TR	: 	100 
A,PTP_RT,F,AC_NP_SEC,UK	49 	57.0 
A,PTP_RT,M,AC_NP_MAIN,AT	: 	81.5 
A,PTP_RT,M,AC_NP_MAIN,BE	89.9 	86.2 
A,PTP_RT,M,AC_NP_MAIN,BG	80.9 	: 
A,PTP_RT,M,AC_NP_MAIN,DE	88.8 	88.3 
A,PTP_RT,M,AC_NP_MAIN,EE	85.5 	82.9 
