freq,unit,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,AT	: 	87.0 
A,PTP_RT,BE	88.8 	91.0 
A,PTP_RT,BG	91.7 	: 
A,PTP_RT,DE	84.2 	89.4 
A,PTP_RT,EE	89.7 	89.5 
A,PTP_RT,EL	: 	95.1 
A,PTP_RT,ES	91.2 	88.7 
A,PTP_RT,FI	89.8 	92.5 
A,PTP_RT,FR	86.5 	84.2 
A,PTP_RT,HU	: 	90.1 
A,PTP_RT,IT	92.4 	84.5 
A,PTP_RT,LT	92.8 	: 
A,PTP_RT,LU	: 	89.0 
A,PTP_RT,LV	86.4 	: 
A,PTP_RT,NL	: 	89.6 
A,PTP_RT,NO	88.1 	90.8 
A,PTP_RT,PL	93.4 	91.6 
A,PTP_RT,RO	: 	91.5 
A,PTP_RT,RS	: 	92.9 
A,PTP_RT,SI	87.5 	: 
A,PTP_RT,TR	: 	85.1 
A,PTP_RT,UK	92.3 	89.6 
A,PTP_TIME,AT	: 	2:39 
A,PTP_TIME,BE	3:16 	3:17 
A,PTP_TIME,BG	3:08 	: 
A,PTP_TIME,DE	2:45 	3:04 
A,PTP_TIME,EE	2:49 	3:05 
A,PTP_TIME,EL	: 	3:14 
A,PTP_TIME,ES	2:54 	2:53 
A,PTP_TIME,FI	2:53 	3:05 
A,PTP_TIME,FR	3:24 	3:00 
A,PTP_TIME,HU	: 	3:06 
A,PTP_TIME,IT	3:08 	2:18 
A,PTP_TIME,LT	2:51 	: 
A,PTP_TIME,LU	: 	2:50 
A,PTP_TIME,LV	2:39 	: 
A,PTP_TIME,NL	: 	2:59 
A,PTP_TIME,NO	2:33 	2:46 
A,PTP_TIME,PL	2:48 	2:48 
A,PTP_TIME,RO	: 	2:43 
A,PTP_TIME,RS	: 	3:02 
A,PTP_TIME,SI	2:29 	: 
A,PTP_TIME,TR	: 	2:41 
A,PTP_TIME,UK	3:10 	3:10 
A,TIME_SP,AT	: 	2:19 
A,TIME_SP,BE	2:58 	2:59 
A,TIME_SP,BG	2:53 	: 
A,TIME_SP,DE	2:20 	2:45 
A,TIME_SP,EE	2:31 	2:46 
A,TIME_SP,EL	: 	3:04 
A,TIME_SP,ES	2:38 	2:33 
A,TIME_SP,FI	2:34 	2:51 
A,TIME_SP,FR	2:56 	2:32 
A,TIME_SP,HU	: 	2:48 
A,TIME_SP,IT	2:55 	1:56 
A,TIME_SP,LT	2:39 	: 
A,TIME_SP,LU	: 	2:31 
A,TIME_SP,LV	2:19 	: 
A,TIME_SP,NL	: 	2:40 
A,TIME_SP,NO	2:14 	2:31 
A,TIME_SP,PL	2:37 	2:34 
A,TIME_SP,RO	: 	2:29 
A,TIME_SP,RS	: 	2:49 
A,TIME_SP,SI	2:11 	: 
A,TIME_SP,TR	: 	2:17 
A,TIME_SP,UK	2:56 	2:50 
