freq,unit,sex,startime,acl00,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,F,H0000-0009,AC02,BE	0.95 	0.8 
A,PTP_RT,F,H0000-0009,AC02,BG	0.31 	: 
A,PTP_RT,F,H0000-0009,AC02,DE	0.40 	0.2 
A,PTP_RT,F,H0000-0009,AC02,EE	0.30 	0.4 
A,PTP_RT,F,H0000-0009,AC02,EL	: 	1.4 
A,PTP_RT,F,H0000-0009,AC02,ES	1.32 	1.8 
A,PTP_RT,F,H0000-0009,AC02,FI	0.54 	0.5 
A,PTP_RT,F,H0000-0009,AC02,FR	1.22 	1.1 
A,PTP_RT,F,H0000-0009,AC02,HU	: 	0.3 
A,PTP_RT,F,H0000-0009,AC02,IT	0.60 	0.4 
A,PTP_RT,F,H0000-0009,AC02,LT	0.16 	: 
A,PTP_RT,F,H0000-0009,AC02,LU	: 	0.8 
A,PTP_RT,F,H0000-0009,AC02,LV	0.21 	: 
A,PTP_RT,F,H0000-0009,AC02,NL	: 	1.1 
A,PTP_RT,F,H0000-0009,AC02,NO	0.55 	0.4 
A,PTP_RT,F,H0000-0009,AC02,PL	0.23 	0.2 
A,PTP_RT,F,H0000-0009,AC02,RO	: 	0.2 
A,PTP_RT,F,H0000-0009,AC02,RS	: 	0.6 
A,PTP_RT,F,H0000-0009,AC02,SI	0.18 	: 
A,PTP_RT,F,H0000-0009,AC02,TR	: 	0.8 
A,PTP_RT,F,H0000-0009,AC02,UK	1.03 	0.5 
A,PTP_RT,F,H0000-0009,AC0A,BE	84.84 	86.6 
A,PTP_RT,F,H0000-0009,AC0A,BG	95.41 	: 
A,PTP_RT,F,H0000-0009,AC0A,DE	87.69 	88.7 
A,PTP_RT,F,H0000-0009,AC0A,EE	87.39 	89.0 
A,PTP_RT,F,H0000-0009,AC0A,EL	: 	74.5 
A,PTP_RT,F,H0000-0009,AC0A,ES	72.22 	69.9 
A,PTP_RT,F,H0000-0009,AC0A,FI	86.66 	85.0 
A,PTP_RT,F,H0000-0009,AC0A,FR	90.50 	87.1 
A,PTP_RT,F,H0000-0009,AC0A,HU	: 	95.5 
A,PTP_RT,F,H0000-0009,AC0A,IT	86.75 	88.9 
A,PTP_RT,F,H0000-0009,AC0A,LT	94.90 	: 
A,PTP_RT,F,H0000-0009,AC0A,LU	: 	87.1 
A,PTP_RT,F,H0000-0009,AC0A,LV	92.39 	: 
A,PTP_RT,F,H0000-0009,AC0A,NL	: 	82.8 
A,PTP_RT,F,H0000-0009,AC0A,NO	76.80 	77.7 
A,PTP_RT,F,H0000-0009,AC0A,PL	92.30 	94.7 
A,PTP_RT,F,H0000-0009,AC0A,RO	: 	96.8 
A,PTP_RT,F,H0000-0009,AC0A,RS	: 	87.0 
A,PTP_RT,F,H0000-0009,AC0A,SI	93.25 	: 
A,PTP_RT,F,H0000-0009,AC0A,TR	: 	85.3 
A,PTP_RT,F,H0000-0009,AC0A,UK	82.45 	86.0 
A,PTP_RT,F,H0000-0009,AC1_2_TR,BE	0.49 	0.5 
A,PTP_RT,F,H0000-0009,AC1_2_TR,BG	0.81 	: 
A,PTP_RT,F,H0000-0009,AC1_2_TR,DE	0.44 	0.8 
A,PTP_RT,F,H0000-0009,AC1_2_TR,EE	2.09 	1.0 
A,PTP_RT,F,H0000-0009,AC1_2_TR,EL	: 	1.0 
A,PTP_RT,F,H0000-0009,AC1_2_TR,ES	1.71 	1.7 
A,PTP_RT,F,H0000-0009,AC1_2_TR,FI	1.30 	1.2 
A,PTP_RT,F,H0000-0009,AC1_2_TR,FR	0.61 	0.7 
A,PTP_RT,F,H0000-0009,AC1_2_TR,HU	: 	1.0 
A,PTP_RT,F,H0000-0009,AC1_2_TR,IT	0.43 	0.4 
A,PTP_RT,F,H0000-0009,AC1_2_TR,LT	1.36 	: 
A,PTP_RT,F,H0000-0009,AC1_2_TR,LU	: 	0.4 
A,PTP_RT,F,H0000-0009,AC1_2_TR,LV	1.95 	: 
A,PTP_RT,F,H0000-0009,AC1_2_TR,NL	: 	0.7 
A,PTP_RT,F,H0000-0009,AC1_2_TR,NO	1.67 	1.0 
A,PTP_RT,F,H0000-0009,AC1_2_TR,PL	1.05 	1.0 
A,PTP_RT,F,H0000-0009,AC1_2_TR,RO	: 	0.3 
A,PTP_RT,F,H0000-0009,AC1_2_TR,RS	: 	0.7 
A,PTP_RT,F,H0000-0009,AC1_2_TR,SI	0.83 	: 
A,PTP_RT,F,H0000-0009,AC1_2_TR,TR	: 	0.8 
A,PTP_RT,F,H0000-0009,AC1_2_TR,UK	1.08 	1.1 
A,PTP_RT,F,H0000-0009,AC3_TR,BE	1.06 	2.2 
A,PTP_RT,F,H0000-0009,AC3_TR,BG	0.55 	: 
A,PTP_RT,F,H0000-0009,AC3_TR,DE	1.03 	1.3 
A,PTP_RT,F,H0000-0009,AC3_TR,EE	1.31 	1.5 
A,PTP_RT,F,H0000-0009,AC3_TR,EL	: 	1.6 
A,PTP_RT,F,H0000-0009,AC3_TR,ES	2.52 	3.0 
A,PTP_RT,F,H0000-0009,AC3_TR,FI	0.91 	1.7 
A,PTP_RT,F,H0000-0009,AC3_TR,FR	0.73 	1.0 
A,PTP_RT,F,H0000-0009,AC3_TR,HU	: 	0.3 
A,PTP_RT,F,H0000-0009,AC3_TR,IT	0.91 	2.1 
A,PTP_RT,F,H0000-0009,AC3_TR,LT	0.51 	: 
A,PTP_RT,F,H0000-0009,AC3_TR,LU	: 	1.5 
A,PTP_RT,F,H0000-0009,AC3_TR,LV	0.64 	: 
A,PTP_RT,F,H0000-0009,AC3_TR,NL	: 	2.3 
A,PTP_RT,F,H0000-0009,AC3_TR,NO	2.09 	3.4 
A,PTP_RT,F,H0000-0009,AC3_TR,PL	0.66 	0.9 
A,PTP_RT,F,H0000-0009,AC3_TR,RO	: 	0.3 
A,PTP_RT,F,H0000-0009,AC3_TR,RS	: 	2.1 
