freq,unit,tra_mode,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,BIKE,AT	: 	4.6 
A,PTP_RT,BIKE,BE	8.9 	10.1 
A,PTP_RT,BIKE,BG	0.7 	: 
A,PTP_RT,BIKE,DE	10.5 	8.7 
A,PTP_RT,BIKE,EE	3.4 	2.6 
A,PTP_RT,BIKE,EL	: 	0.9 
A,PTP_RT,BIKE,ES	0.3 	0.7 
A,PTP_RT,BIKE,FI	9 	6.6 
A,PTP_RT,BIKE,FR	: 	2.8 
A,PTP_RT,BIKE,HU	: 	13.3 
A,PTP_RT,BIKE,IT	4.1 	4.0 
A,PTP_RT,BIKE,LT	2.8 	: 
A,PTP_RT,BIKE,LU	: 	1.3 
A,PTP_RT,BIKE,LV	2.4 	: 
A,PTP_RT,BIKE,NL	: 	26.6 
A,PTP_RT,BIKE,NO	5.7 	4.0 
A,PTP_RT,BIKE,PL	6.8 	4.0 
A,PTP_RT,BIKE,RO	: 	1.5 
A,PTP_RT,BIKE,RS	: 	7.9 
A,PTP_RT,BIKE,SI	3.2 	: 
A,PTP_RT,BIKE,TR	: 	0.3 
A,PTP_RT,BIKE,UK	: 	2.7 
A,PTP_RT,FOOT,AT	: 	22.4 
A,PTP_RT,FOOT,BE	27.1 	31.0 
A,PTP_RT,FOOT,BG	71.8 	: 
A,PTP_RT,FOOT,DE	30.5 	19.1 
A,PTP_RT,FOOT,EE	54 	42.8 
A,PTP_RT,FOOT,EL	: 	57.3 
A,PTP_RT,FOOT,ES	21.4 	52.7 
A,PTP_RT,FOOT,FI	25.9 	25.0 
A,PTP_RT,FOOT,FR	: 	31.6 
A,PTP_RT,FOOT,HU	: 	44.6 
A,PTP_RT,FOOT,IT	45.7 	42.1 
A,PTP_RT,FOOT,LT	61.4 	: 
A,PTP_RT,FOOT,LU	: 	33.6 
A,PTP_RT,FOOT,LV	68.7 	: 
A,PTP_RT,FOOT,NL	: 	20.9 
A,PTP_RT,FOOT,NO	31.2 	32.9 
A,PTP_RT,FOOT,PL	67.1 	49.6 
A,PTP_RT,FOOT,RO	: 	53.8 
A,PTP_RT,FOOT,RS	: 	67.5 
A,PTP_RT,FOOT,SI	38 	: 
A,PTP_RT,FOOT,TR	: 	28.9 
A,PTP_RT,FOOT,UK	: 	40.9 
A,PTP_RT,OTH,AT	: 	93.1 
