freq,unit,acl00,sex,geo\TIME_PERIOD	2000 	2010 
A,PTP_RT,AC_NP_SEC,F,AT	: 	47.5 
A,PTP_RT,AC_NP_SEC,F,BE	30.8 	32.3 
A,PTP_RT,AC_NP_SEC,F,BG	23.1 	: 
A,PTP_RT,AC_NP_SEC,F,DE	45.6 	41.7 
A,PTP_RT,AC_NP_SEC,F,EE	42.6 	37.7 
A,PTP_RT,AC_NP_SEC,F,EL	: 	27.8 
A,PTP_RT,AC_NP_SEC,F,ES	: 	20.6 
A,PTP_RT,AC_NP_SEC,F,FI	39.7 	49.3 
A,PTP_RT,AC_NP_SEC,F,FR	11 	19.2 
A,PTP_RT,AC_NP_SEC,F,HU	: 	25.3 
A,PTP_RT,AC_NP_SEC,F,IT	25.3 	25.8 
A,PTP_RT,AC_NP_SEC,F,LT	21.9 	: 
A,PTP_RT,AC_NP_SEC,F,LU	: 	25.2 
A,PTP_RT,AC_NP_SEC,F,LV	23.6 	: 
A,PTP_RT,AC_NP_SEC,F,NL	: 	48.5 
A,PTP_RT,AC_NP_SEC,F,NO	34.8 	30.8 
A,PTP_RT,AC_NP_SEC,F,PL	21.6 	26.9 
A,PTP_RT,AC_NP_SEC,F,RO	: 	13.7 
A,PTP_RT,AC_NP_SEC,F,RS	: 	36.2 
A,PTP_RT,AC_NP_SEC,F,SI	22.4 	: 
A,PTP_RT,AC_NP_SEC,F,TR	: 	100 
A,PTP_RT,AC_NP_SEC,F,UK	49 	57.0 
A,PTP_RT,AC_NP_SEC,M,AT	: 	48.9 
A,PTP_RT,AC_NP_SEC,M,BE	22.9 	31.2 
A,PTP_RT,AC_NP_SEC,M,BG	8.1 	: 
A,PTP_RT,AC_NP_SEC,M,DE	26.3 	41.5 
A,PTP_RT,AC_NP_SEC,M,EE	18.6 	34.7 
A,PTP_RT,AC_NP_SEC,M,EL	: 	37.3 
A,PTP_RT,AC_NP_SEC,M,ES	: 	25.3 
A,PTP_RT,AC_NP_SEC,M,FI	20.3 	44.8 
A,PTP_RT,AC_NP_SEC,M,FR	4.4 	13.0 
A,PTP_RT,AC_NP_SEC,M,HU	: 	23.3 
A,PTP_RT,AC_NP_SEC,M,IT	11.5 	31.1 
A,PTP_RT,AC_NP_SEC,M,LT	6.2 	: 
A,PTP_RT,AC_NP_SEC,M,LU	: 	23.8 
A,PTP_RT,AC_NP_SEC,M,LV	8.2 	: 
A,PTP_RT,AC_NP_SEC,M,NL	: 	45.9 
A,PTP_RT,AC_NP_SEC,M,NO	17.1 	25.0 
A,PTP_RT,AC_NP_SEC,M,PL	10.2 	17.7 
A,PTP_RT,AC_NP_SEC,M,RO	: 	15.5 
A,PTP_RT,AC_NP_SEC,M,RS	: 	41.1 
A,PTP_RT,AC_NP_SEC,M,SI	9 	: 
A,PTP_RT,AC_NP_SEC,M,TR	: 	100 
A,PTP_RT,AC_NP_SEC,M,UK	29.7 	53.4 
A,PTP_RT,AC_NP_SEC,T,AT	: 	48.2 
A,PTP_RT,AC_NP_SEC,T,BE	27 	31.8 
A,PTP_RT,AC_NP_SEC,T,BG	16 	: 
A,PTP_RT,AC_NP_SEC,T,DE	36.7 	41.6 
A,PTP_RT,AC_NP_SEC,T,EE	31.7 	36.3 
A,PTP_RT,AC_NP_SEC,T,EL	: 	32.4 
A,PTP_RT,AC_NP_SEC,T,ES	: 	23.0 
A,PTP_RT,AC_NP_SEC,T,FI	30.6 	47.1 
A,PTP_RT,AC_NP_SEC,T,FR	7.8 	16.1 
A,PTP_RT,AC_NP_SEC,T,HU	: 	24.4 
A,PTP_RT,AC_NP_SEC,T,IT	18.6 	28.4 
A,PTP_RT,AC_NP_SEC,T,LT	14.9 	: 
A,PTP_RT,AC_NP_SEC,T,LU	: 	24.5 
A,PTP_RT,AC_NP_SEC,T,LV	16.8 	: 
A,PTP_RT,AC_NP_SEC,T,NL	: 	47.2 
A,PTP_RT,AC_NP_SEC,T,NO	25.8 	27.9 
A,PTP_RT,AC_NP_SEC,T,PL	16.8 	22.4 
A,PTP_RT,AC_NP_SEC,T,RO	: 	14.6 
A,PTP_RT,AC_NP_SEC,T,RS	: 	38.6 
A,PTP_RT,AC_NP_SEC,T,SI	16.1 	: 
A,PTP_RT,AC_NP_SEC,T,TR	: 	100 
A,PTP_RT,AC_NP_SEC,T,UK	40.2 	55.2 
A,PTP_RT,AC_PNP_MAIN,F,AT	: 	99.1 
A,PTP_RT,AC_PNP_MAIN,F,BE	97.8 	97.2 
A,PTP_RT,AC_PNP_MAIN,F,BG	98.4 	: 
A,PTP_RT,AC_PNP_MAIN,F,DE	98.7 	98.1 
A,PTP_RT,AC_PNP_MAIN,F,EE	99.1 	98.5 
A,PTP_RT,AC_PNP_MAIN,F,EL	: 	97.2 
A,PTP_RT,AC_PNP_MAIN,F,ES	98.1 	97.8 
A,PTP_RT,AC_PNP_MAIN,F,FI	99.3 	99.0 
A,PTP_RT,AC_PNP_MAIN,F,FR	99 	97.3 
A,PTP_RT,AC_PNP_MAIN,F,HU	: 	98.8 
A,PTP_RT,AC_PNP_MAIN,F,IT	97.6 	97.8 
A,PTP_RT,AC_PNP_MAIN,F,LT	99.2 	: 
A,PTP_RT,AC_PNP_MAIN,F,LU	: 	97.8 
A,PTP_RT,AC_PNP_MAIN,F,LV	98.5 	: 
A,PTP_RT,AC_PNP_MAIN,F,NL	: 	97.8 
A,PTP_RT,AC_PNP_MAIN,F,NO	99.3 	99.4 
A,PTP_RT,AC_PNP_MAIN,F,PL	99.1 	99.1 
A,PTP_RT,AC_PNP_MAIN,F,RO	: 	98.2 
A,PTP_RT,AC_PNP_MAIN,F,RS	: 	97.9 
A,PTP_RT,AC_PNP_MAIN,F,SI	98.4 	: 
A,PTP_RT,AC_PNP_MAIN,F,TR	: 	97.6 
A,PTP_RT,AC_PNP_MAIN,F,UK	98.7 	98.5 
A,PTP_RT,AC_PNP_MAIN,M,AT	: 	95.5 
A,PTP_RT,AC_PNP_MAIN,M,BE	95.3 	94.0 
A,PTP_RT,AC_PNP_MAIN,M,BG	94.3 	: 
A,PTP_RT,AC_PNP_MAIN,M,DE	96.6 	95.6 
A,PTP_RT,AC_PNP_MAIN,M,EE	95.9 	94.5 
A,PTP_RT,AC_PNP_MAIN,M,EL	: 	89.2 
A,PTP_RT,AC_PNP_MAIN,M,ES	90.1 	91.1 
A,PTP_RT,AC_PNP_MAIN,M,FI	95.8 	97.5 
A,PTP_RT,AC_PNP_MAIN,M,FR	95.3 	94.2 
A,PTP_RT,AC_PNP_MAIN,M,HU	: 	94.6 
A,PTP_RT,AC_PNP_MAIN,M,IT	87.7 	91.4 
A,PTP_RT,AC_PNP_MAIN,M,LT	95.6 	: 
A,PTP_RT,AC_PNP_MAIN,M,LU	: 	92.9 
A,PTP_RT,AC_PNP_MAIN,M,LV	92.5 	: 
