freq,sex,age,acl18,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,AC0,PTP_RT,AT	100.0 
A,F,TOTAL,AC0,PTP_RT,BG	100.0 
A,F,TOTAL,AC0,PTP_RT,DE	100.0 
A,F,TOTAL,AC0,PTP_RT,EE	99.96 
A,F,TOTAL,AC0,PTP_RT,FI	99.96 
A,F,TOTAL,AC0,PTP_RT,NO	99.98 
A,F,TOTAL,AC0,PTP_RT,RS	100.0 
A,F,TOTAL,AC0,PTP_TIME,AT	11:36 
A,F,TOTAL,AC0,PTP_TIME,BG	12:23 
A,F,TOTAL,AC0,PTP_TIME,DE	11:23 
A,F,TOTAL,AC0,PTP_TIME,EE	11:13 
A,F,TOTAL,AC0,PTP_TIME,FI	11:11 
A,F,TOTAL,AC0,PTP_TIME,NO	10:44 
A,F,TOTAL,AC0,PTP_TIME,RS	11:32 
A,F,TOTAL,AC0,TIME_SP,AT	11:36 
A,F,TOTAL,AC0,TIME_SP,BG	12:23 
A,F,TOTAL,AC0,TIME_SP,DE	11:23 
A,F,TOTAL,AC0,TIME_SP,EE	11:13 
A,F,TOTAL,AC0,TIME_SP,FI	11:11 
A,F,TOTAL,AC0,TIME_SP,NO	10:44 
A,F,TOTAL,AC0,TIME_SP,RS	11:32 
A,F,TOTAL,AC01,PTP_RT,AT	100.0 
A,F,TOTAL,AC01,PTP_RT,BG	100.0 
A,F,TOTAL,AC01,PTP_RT,DE	100.0 
A,F,TOTAL,AC01,PTP_RT,EE	99.96 
A,F,TOTAL,AC01,PTP_RT,FI	99.46 
A,F,TOTAL,AC01,PTP_RT,NO	99.91 
A,F,TOTAL,AC01,PTP_RT,RS	100.0 
A,F,TOTAL,AC01,PTP_TIME,AT	8:52 
A,F,TOTAL,AC01,PTP_TIME,BG	9:18 
A,F,TOTAL,AC01,PTP_TIME,DE	8:42 
A,F,TOTAL,AC01,PTP_TIME,EE	8:50 
A,F,TOTAL,AC01,PTP_TIME,FI	8:43 
A,F,TOTAL,AC01,PTP_TIME,NO	8:37 
A,F,TOTAL,AC01,PTP_TIME,RS	8:25 
A,F,TOTAL,AC01,TIME_SP,AT	8:52 
A,F,TOTAL,AC01,TIME_SP,BG	9:18 
A,F,TOTAL,AC01,TIME_SP,DE	8:42 
A,F,TOTAL,AC01,TIME_SP,EE	8:50 
A,F,TOTAL,AC01,TIME_SP,FI	8:40 
A,F,TOTAL,AC01,TIME_SP,NO	8:37 
A,F,TOTAL,AC01,TIME_SP,RS	8:25 
A,F,TOTAL,AC021,PTP_RT,AT	96.71 
A,F,TOTAL,AC021,PTP_RT,BG	99.95 
A,F,TOTAL,AC021,PTP_RT,DE	99.02 
A,F,TOTAL,AC021,PTP_RT,EE	98.84 
A,F,TOTAL,AC021,PTP_RT,FI	97.31 
A,F,TOTAL,AC021,PTP_RT,NO	88.26 
A,F,TOTAL,AC021,PTP_RT,RS	99.54 
A,F,TOTAL,AC021,PTP_TIME,AT	1:47 
A,F,TOTAL,AC021,PTP_TIME,BG	2:10 
A,F,TOTAL,AC021,PTP_TIME,DE	1:42 
A,F,TOTAL,AC021,PTP_TIME,EE	1:23 
A,F,TOTAL,AC021,PTP_TIME,FI	1:34 
A,F,TOTAL,AC021,PTP_TIME,NO	1:30 
A,F,TOTAL,AC021,PTP_TIME,RS	2:05 
A,F,TOTAL,AC021,TIME_SP,AT	1:43 
A,F,TOTAL,AC021,TIME_SP,BG	2:10 
A,F,TOTAL,AC021,TIME_SP,DE	1:41 
A,F,TOTAL,AC021,TIME_SP,EE	1:22 
A,F,TOTAL,AC021,TIME_SP,FI	1:31 
A,F,TOTAL,AC021,TIME_SP,NO	1:20 
A,F,TOTAL,AC021,TIME_SP,RS	2:05 
A,F,TOTAL,AC03,PTP_RT,AT	89.33 
A,F,TOTAL,AC03,PTP_RT,BG	98.52 
A,F,TOTAL,AC03,PTP_RT,DE	99.89 
A,F,TOTAL,AC03,PTP_RT,EE	96.31 
A,F,TOTAL,AC03,PTP_RT,FI	92.04 
A,F,TOTAL,AC03,PTP_RT,NO	81.80 
A,F,TOTAL,AC03,PTP_RT,RS	97.49 
A,F,TOTAL,AC03,PTP_TIME,AT	1:08 
A,F,TOTAL,AC03,PTP_TIME,BG	0:56 
A,F,TOTAL,AC03,PTP_TIME,DE	1:00 
A,F,TOTAL,AC03,PTP_TIME,EE	1:04 
A,F,TOTAL,AC03,PTP_TIME,FI	1:04 
A,F,TOTAL,AC03,PTP_TIME,NO	0:58 
A,F,TOTAL,AC03,PTP_TIME,RS	1:05 
A,F,TOTAL,AC03,TIME_SP,AT	1:01 
A,F,TOTAL,AC03,TIME_SP,BG	0:55 
A,F,TOTAL,AC03,TIME_SP,DE	1:00 
A,F,TOTAL,AC03,TIME_SP,EE	1:01 
A,F,TOTAL,AC03,TIME_SP,FI	0:59 
A,F,TOTAL,AC03,TIME_SP,NO	0:48 
A,F,TOTAL,AC03,TIME_SP,RS	1:03 
A,F,TOTAL,AC1,PTP_RT,AT	29.06 
A,F,TOTAL,AC1,PTP_RT,BG	29.48 
A,F,TOTAL,AC1,PTP_RT,DE	30.05 
A,F,TOTAL,AC1,PTP_RT,EE	34.79 
A,F,TOTAL,AC1,PTP_RT,FI	27.88 
A,F,TOTAL,AC1,PTP_RT,NO	36.33 
A,F,TOTAL,AC1,PTP_RT,RS	32.62 
A,F,TOTAL,AC1,PTP_TIME,AT	6:54 
A,F,TOTAL,AC1,PTP_TIME,BG	7:51 
A,F,TOTAL,AC1,PTP_TIME,DE	6:35 
A,F,TOTAL,AC1,PTP_TIME,EE	7:26 
A,F,TOTAL,AC1,PTP_TIME,FI	6:45 
A,F,TOTAL,AC1,PTP_TIME,NO	6:45 
A,F,TOTAL,AC1,PTP_TIME,RS	6:29 
A,F,TOTAL,AC1,TIME_SP,AT	2:00 
A,F,TOTAL,AC1,TIME_SP,BG	2:19 
A,F,TOTAL,AC1,TIME_SP,DE	1:59 
A,F,TOTAL,AC1,TIME_SP,EE	2:35 
A,F,TOTAL,AC1,TIME_SP,FI	1:53 
A,F,TOTAL,AC1,TIME_SP,NO	2:27 
A,F,TOTAL,AC1,TIME_SP,RS	2:07 
A,F,TOTAL,AC2,PTP_RT,AT	11.38 
A,F,TOTAL,AC2,PTP_RT,BG	7.15 
A,F,TOTAL,AC2,PTP_RT,DE	10.31 
A,F,TOTAL,AC2,PTP_RT,EE	12.24 
A,F,TOTAL,AC2,PTP_RT,FI	14.00 
A,F,TOTAL,AC2,PTP_RT,NO	13.27 
A,F,TOTAL,AC2,PTP_RT,RS	8.30 
A,F,TOTAL,AC2,PTP_TIME,AT	5:15 
A,F,TOTAL,AC2,PTP_TIME,BG	6:02 
A,F,TOTAL,AC2,PTP_TIME,DE	4:19 
A,F,TOTAL,AC2,PTP_TIME,EE	4:45 
A,F,TOTAL,AC2,PTP_TIME,FI	4:28 
A,F,TOTAL,AC2,PTP_TIME,NO	5:08 
A,F,TOTAL,AC2,PTP_TIME,RS	4:53 
A,F,TOTAL,AC2,TIME_SP,AT	0:36 
A,F,TOTAL,AC2,TIME_SP,BG	0:26 
A,F,TOTAL,AC2,TIME_SP,DE	0:27 
A,F,TOTAL,AC2,TIME_SP,EE	0:35 
A,F,TOTAL,AC2,TIME_SP,FI	0:37 
A,F,TOTAL,AC2,TIME_SP,NO	0:41 
A,F,TOTAL,AC2,TIME_SP,RS	0:24 
A,F,TOTAL,AC212,PTP_RT,AT	7.62 
A,F,TOTAL,AC212,PTP_RT,BG	5.74 
A,F,TOTAL,AC212,PTP_RT,DE	5.71 
A,F,TOTAL,AC212,PTP_RT,EE	7.50 
A,F,TOTAL,AC212,PTP_RT,FI	8.60 
A,F,TOTAL,AC212,PTP_RT,NO	6.04 
A,F,TOTAL,AC212,PTP_RT,RS	6.97 
A,F,TOTAL,AC212,PTP_TIME,AT	2:30 
A,F,TOTAL,AC212,PTP_TIME,BG	2:23 
A,F,TOTAL,AC212,PTP_TIME,DE	2:22 
A,F,TOTAL,AC212,PTP_TIME,EE	2:02 
A,F,TOTAL,AC212,PTP_TIME,FI	2:31 
A,F,TOTAL,AC212,PTP_TIME,NO	2:26 
A,F,TOTAL,AC212,PTP_TIME,RS	3:33 
A,F,TOTAL,AC212,TIME_SP,AT	0:11 
A,F,TOTAL,AC212,TIME_SP,BG	0:08 
A,F,TOTAL,AC212,TIME_SP,DE	0:08 
A,F,TOTAL,AC212,TIME_SP,EE	0:09 
A,F,TOTAL,AC212,TIME_SP,FI	0:13 
A,F,TOTAL,AC212,TIME_SP,NO	0:09 
A,F,TOTAL,AC212,TIME_SP,RS	0:15 
A,F,TOTAL,AC21_X_212,PTP_RT,AT	6.24 
A,F,TOTAL,AC21_X_212,PTP_RT,BG	5.17 
A,F,TOTAL,AC21_X_212,PTP_RT,DE	5.22 
A,F,TOTAL,AC21_X_212,PTP_RT,EE	7.31 
A,F,TOTAL,AC21_X_212,PTP_RT,FI	8.25 
A,F,TOTAL,AC21_X_212,PTP_RT,NO	10.50 
A,F,TOTAL,AC21_X_212,PTP_RT,RS	3.45 
A,F,TOTAL,AC21_X_212,PTP_TIME,AT	5:55 
A,F,TOTAL,AC21_X_212,PTP_TIME,BG	5:36 
A,F,TOTAL,AC21_X_212,PTP_TIME,DE	5:01 
A,F,TOTAL,AC21_X_212,PTP_TIME,EE	4:58 
A,F,TOTAL,AC21_X_212,PTP_TIME,FI	4:33 
A,F,TOTAL,AC21_X_212,PTP_TIME,NO	4:58 
A,F,TOTAL,AC21_X_212,PTP_TIME,RS	4:18 
A,F,TOTAL,AC21_X_212,TIME_SP,AT	0:22 
A,F,TOTAL,AC21_X_212,TIME_SP,BG	0:17 
A,F,TOTAL,AC21_X_212,TIME_SP,DE	0:16 
A,F,TOTAL,AC21_X_212,TIME_SP,EE	0:22 
A,F,TOTAL,AC21_X_212,TIME_SP,FI	0:23 
A,F,TOTAL,AC21_X_212,TIME_SP,NO	0:31 
A,F,TOTAL,AC21_X_212,TIME_SP,RS	0:09 
A,F,TOTAL,AC221,PTP_RT,AT	1.91 
A,F,TOTAL,AC221,PTP_RT,BG	0.44 
A,F,TOTAL,AC221,PTP_RT,DE	2.75 
A,F,TOTAL,AC221,PTP_RT,EE	2.74 
