freq,sex,age,acl18,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,AC021,PTP_RT,AT	19.63 
A,F,TOTAL,AC021,PTP_RT,BG	2.10 
A,F,TOTAL,AC021,PTP_RT,DE	17.61 
A,F,TOTAL,AC021,PTP_RT,EE	6.10 
A,F,TOTAL,AC021,PTP_RT,FI	19.82 
A,F,TOTAL,AC021,PTP_RT,NO	24.01 
A,F,TOTAL,AC021,PTP_RT,RS	21.24 
A,F,TOTAL,AC021,PTP_TIME,AT	1:18 
A,F,TOTAL,AC021,PTP_TIME,BG	0:50 
A,F,TOTAL,AC021,PTP_TIME,DE	1:04 
A,F,TOTAL,AC021,PTP_TIME,EE	0:52 
A,F,TOTAL,AC021,PTP_TIME,FI	0:51 
A,F,TOTAL,AC021,PTP_TIME,NO	1:53 
A,F,TOTAL,AC021,PTP_TIME,RS	0:50 
A,F,TOTAL,AC021,TIME_SP,AT	0:15 
A,F,TOTAL,AC021,TIME_SP,BG	0:01 
A,F,TOTAL,AC021,TIME_SP,DE	0:11 
A,F,TOTAL,AC021,TIME_SP,EE	0:03 
A,F,TOTAL,AC021,TIME_SP,FI	0:10 
A,F,TOTAL,AC021,TIME_SP,NO	0:27 
A,F,TOTAL,AC021,TIME_SP,RS	0:11 
A,F,TOTAL,AC121,PTP_RT,AT	6.33 
A,F,TOTAL,AC121,PTP_RT,BG	17.80 
A,F,TOTAL,AC121,PTP_RT,DE	11.12 
A,F,TOTAL,AC121,PTP_RT,EE	17.34 
A,F,TOTAL,AC121,PTP_RT,FI	11.31 
A,F,TOTAL,AC121,PTP_RT,NO	1.84 
A,F,TOTAL,AC121,PTP_RT,RS	23.02 
A,F,TOTAL,AC121,PTP_TIME,AT	0:40 
A,F,TOTAL,AC121,PTP_TIME,BG	0:43 
A,F,TOTAL,AC121,PTP_TIME,DE	0:36 
A,F,TOTAL,AC121,PTP_TIME,EE	0:37 
A,F,TOTAL,AC121,PTP_TIME,FI	0:34 
A,F,TOTAL,AC121,PTP_TIME,NO	4:02 
A,F,TOTAL,AC121,PTP_TIME,RS	0:41 
A,F,TOTAL,AC121,TIME_SP,AT	0:03 
A,F,TOTAL,AC121,TIME_SP,BG	0:08 
A,F,TOTAL,AC121,TIME_SP,DE	0:04 
A,F,TOTAL,AC121,TIME_SP,EE	0:06 
A,F,TOTAL,AC121,TIME_SP,FI	0:04 
A,F,TOTAL,AC121,TIME_SP,NO	0:04 
A,F,TOTAL,AC121,TIME_SP,RS	0:09 
A,F,TOTAL,AC38,PTP_RT,AT	9.44 
A,F,TOTAL,AC38,PTP_RT,BG	8.17 
A,F,TOTAL,AC38,PTP_RT,DE	11.39 
A,F,TOTAL,AC38,PTP_RT,EE	8.51 
A,F,TOTAL,AC38,PTP_RT,FI	6.30 
A,F,TOTAL,AC38,PTP_RT,NO	5.15 
A,F,TOTAL,AC38,PTP_RT,RS	9.38 
A,F,TOTAL,AC38,PTP_TIME,AT	2:02 
A,F,TOTAL,AC38,PTP_TIME,BG	1:04 
A,F,TOTAL,AC38,PTP_TIME,DE	2:35 
