freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,PTP_RT,AT	38.82 
A,F,TOTAL,PTP_RT,BG	41.82 
A,F,TOTAL,PTP_RT,DE	45.55 
A,F,TOTAL,PTP_RT,EE	52.45 
A,F,TOTAL,PTP_RT,FI	44.02 
A,F,TOTAL,PTP_RT,NO	41.76 
A,F,TOTAL,PTP_RT,RS	52.27 
A,F,TOTAL,PTP_TIME,AT	2:51 
A,F,TOTAL,PTP_TIME,BG	2:13 
A,F,TOTAL,PTP_TIME,DE	2:52 
A,F,TOTAL,PTP_TIME,EE	2:11 
A,F,TOTAL,PTP_TIME,FI	2:19 
A,F,TOTAL,PTP_TIME,NO	2:25 
A,F,TOTAL,PTP_TIME,RS	2:35 
A,F,TOTAL,TIME_SP,AT	1:07 
A,F,TOTAL,TIME_SP,BG	0:56 
A,F,TOTAL,TIME_SP,DE	1:18 
A,F,TOTAL,TIME_SP,EE	1:09 
A,F,TOTAL,TIME_SP,FI	1:01 
A,F,TOTAL,TIME_SP,NO	1:01 
A,F,TOTAL,TIME_SP,RS	1:21 
A,F,Y15-29,PTP_RT,AT	12.65 
A,F,Y15-29,PTP_RT,BG	26.60 
A,F,Y15-29,PTP_RT,DE	18.78 
A,F,Y15-29,PTP_RT,EE	24.34 
A,F,Y15-29,PTP_RT,FI	20.96 
A,F,Y15-29,PTP_RT,NO	17.27 
A,F,Y15-29,PTP_RT,RS	100.0 
A,F,Y15-29,PTP_TIME,AT	3:51 
A,F,Y15-29,PTP_TIME,BG	3:59 u
A,F,Y15-29,PTP_TIME,DE	3:53 
A,F,Y15-29,PTP_TIME,EE	3:56 
A,F,Y15-29,PTP_TIME,FI	2:36 
A,F,Y15-29,PTP_TIME,NO	3:25 
A,F,Y15-29,PTP_TIME,RS	3:42 
A,F,Y15-29,TIME_SP,AT	0:29 
A,F,Y15-29,TIME_SP,BG	1:04 
A,F,Y15-29,TIME_SP,DE	0:44 
A,F,Y15-29,TIME_SP,EE	0:57 
A,F,Y15-29,TIME_SP,FI	0:33 
A,F,Y15-29,TIME_SP,NO	0:35 
A,F,Y15-29,TIME_SP,RS	3:42 
A,F,Y30-44,PTP_RT,AT	72.76 
A,F,Y30-44,PTP_RT,BG	60.27 
A,F,Y30-44,PTP_RT,DE	79.37 
A,F,Y30-44,PTP_RT,EE	74.50 
A,F,Y30-44,PTP_RT,FI	74.62 
