freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,PTP_RT,AT	24.17 
A,F,TOTAL,PTP_RT,BG	24.89 
A,F,TOTAL,PTP_RT,DE	33.31 
A,F,TOTAL,PTP_RT,EE	28.46 
A,F,TOTAL,PTP_RT,FI	21.46 
A,F,TOTAL,PTP_RT,NO	11.43 
A,F,TOTAL,PTP_RT,RS	29.17 
A,F,TOTAL,PTP_TIME,AT	2:01 
A,F,TOTAL,PTP_TIME,BG	1:08 
A,F,TOTAL,PTP_TIME,DE	2:35 
A,F,TOTAL,PTP_TIME,EE	1:37 
A,F,TOTAL,PTP_TIME,FI	1:11 
A,F,TOTAL,PTP_TIME,NO	1:39 
A,F,TOTAL,PTP_TIME,RS	1:07 
A,F,TOTAL,TIME_SP,AT	0:29 
A,F,TOTAL,TIME_SP,BG	0:17 
A,F,TOTAL,TIME_SP,DE	0:52 
A,F,TOTAL,TIME_SP,EE	0:28 
A,F,TOTAL,TIME_SP,FI	0:15 
A,F,TOTAL,TIME_SP,NO	0:11 
A,F,TOTAL,TIME_SP,RS	0:20 
A,F,Y15-29,PTP_RT,AT	7.41 
A,F,Y15-29,PTP_RT,BG	14.05 
A,F,Y15-29,PTP_RT,DE	13.98 
A,F,Y15-29,PTP_RT,EE	15.16 
A,F,Y15-29,PTP_RT,FI	12.21 
A,F,Y15-29,PTP_RT,NO	3.95 
A,F,Y15-29,PTP_RT,RS	39.86 
A,F,Y15-29,PTP_TIME,AT	2:28 
A,F,Y15-29,PTP_TIME,BG	1:33 u
A,F,Y15-29,PTP_TIME,DE	2:57 
A,F,Y15-29,PTP_TIME,EE	2:12 u
A,F,Y15-29,PTP_TIME,FI	1:12 u
A,F,Y15-29,PTP_TIME,NO	: u
A,F,Y15-29,PTP_TIME,RS	1:13 u
A,F,Y15-29,TIME_SP,AT	0:11 
A,F,Y15-29,TIME_SP,BG	0:13 
A,F,Y15-29,TIME_SP,DE	0:25 
A,F,Y15-29,TIME_SP,EE	0:20 
A,F,Y15-29,TIME_SP,FI	0:09 
A,F,Y15-29,TIME_SP,NO	0:06 
A,F,Y15-29,TIME_SP,RS	0:29 
A,F,Y30-44,PTP_RT,AT	45.36 
A,F,Y30-44,PTP_RT,BG	34.23 
A,F,Y30-44,PTP_RT,DE	58.59 
A,F,Y30-44,PTP_RT,EE	40.86 
A,F,Y30-44,PTP_RT,FI	36.02 
A,F,Y30-44,PTP_RT,NO	21.42 
A,F,Y30-44,PTP_RT,RS	37.01 
A,F,Y30-44,PTP_TIME,AT	2:10 
A,F,Y30-44,PTP_TIME,BG	1:09 
A,F,Y30-44,PTP_TIME,DE	2:42 
A,F,Y30-44,PTP_TIME,EE	1:38 
A,F,Y30-44,PTP_TIME,FI	1:13 
A,F,Y30-44,PTP_TIME,NO	1:38 
A,F,Y30-44,PTP_TIME,RS	1:09 
A,F,Y30-44,TIME_SP,AT	0:59 
A,F,Y30-44,TIME_SP,BG	0:23 
A,F,Y30-44,TIME_SP,DE	1:35 
A,F,Y30-44,TIME_SP,EE	0:40 
A,F,Y30-44,TIME_SP,FI	0:26 
A,F,Y30-44,TIME_SP,NO	0:21 
A,F,Y30-44,TIME_SP,RS	0:26 
A,F,Y45-64,PTP_RT,AT	13.51 
A,F,Y45-64,PTP_RT,BG	21.03 
A,F,Y45-64,PTP_RT,DE	16.55 
A,F,Y45-64,PTP_RT,EE	16.05 
A,F,Y45-64,PTP_RT,FI	9.90 
A,F,Y45-64,PTP_RT,NO	5.31 
A,F,Y45-64,PTP_RT,RS	12.94 
A,F,Y45-64,PTP_TIME,AT	1:09 
A,F,Y45-64,PTP_TIME,BG	0:50 
A,F,Y45-64,PTP_TIME,DE	1:49 
A,F,Y45-64,PTP_TIME,EE	0:50 u
A,F,Y45-64,PTP_TIME,FI	0:54 
A,F,Y45-64,PTP_TIME,NO	1:06 u
A,F,Y45-64,PTP_TIME,RS	0:53 u
A,F,Y45-64,TIME_SP,AT	0:09 
A,F,Y45-64,TIME_SP,BG	0:10 
A,F,Y45-64,TIME_SP,DE	0:18 
A,F,Y45-64,TIME_SP,EE	0:08 
A,F,Y45-64,TIME_SP,FI	0:05 
A,F,Y45-64,TIME_SP,NO	0:03 
A,F,Y45-64,TIME_SP,RS	0:07 
A,M,TOTAL,PTP_RT,AT	12.05 
A,M,TOTAL,PTP_RT,BG	8.72 
A,M,TOTAL,PTP_RT,DE	18.75 
A,M,TOTAL,PTP_RT,EE	14.78 
