freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,PTP_RT,AT	92.26 
A,F,TOTAL,PTP_RT,BG	98.80 
A,F,TOTAL,PTP_RT,DE	92.58 
A,F,TOTAL,PTP_RT,EE	94.66 
A,F,TOTAL,PTP_RT,FI	90.71 
A,F,TOTAL,PTP_RT,NO	81.72 
A,F,TOTAL,PTP_RT,RS	98.51 
A,F,TOTAL,PTP_TIME,AT	1:39 
A,F,TOTAL,PTP_TIME,BG	1:43 
A,F,TOTAL,PTP_TIME,DE	1:37 
A,F,TOTAL,PTP_TIME,EE	1:10 
A,F,TOTAL,PTP_TIME,FI	1:29 
A,F,TOTAL,PTP_TIME,NO	1:43 
A,F,TOTAL,PTP_TIME,RS	1:54 
A,F,TOTAL,TIME_SP,AT	1:31 
A,F,TOTAL,TIME_SP,BG	1:42 
A,F,TOTAL,TIME_SP,DE	1:30 
A,F,TOTAL,TIME_SP,EE	1:06 
A,F,TOTAL,TIME_SP,FI	1:21 
A,F,TOTAL,TIME_SP,NO	1:24 
A,F,TOTAL,TIME_SP,RS	1:52 
A,F,Y10-14,PTP_RT,AT	89.89 
A,F,Y10-14,PTP_RT,BG	98.34 
A,F,Y10-14,PTP_RT,DE	91.90 
A,F,Y10-14,PTP_RT,EE	93.59 
A,F,Y10-14,PTP_RT,FI	91.92 
A,F,Y10-14,PTP_RT,NO	86.19 
A,F,Y10-14,PTP_TIME,AT	1:22 
A,F,Y10-14,PTP_TIME,BG	1:37 
A,F,Y10-14,PTP_TIME,DE	1:30 
A,F,Y10-14,PTP_TIME,EE	0:59 
A,F,Y10-14,PTP_TIME,FI	1:19 
A,F,Y10-14,PTP_TIME,NO	1:29 
A,F,Y10-14,TIME_SP,AT	1:14 
A,F,Y10-14,TIME_SP,BG	1:36 
A,F,Y10-14,TIME_SP,DE	1:23 
A,F,Y10-14,TIME_SP,EE	0:55 
A,F,Y10-14,TIME_SP,FI	1:13 
A,F,Y10-14,TIME_SP,NO	1:17 
A,F,Y15-24,PTP_RT,AT	85.74 
A,F,Y15-24,PTP_RT,BG	98.93 
A,F,Y15-24,PTP_RT,DE	87.86 
A,F,Y15-24,PTP_RT,EE	91.93 
A,F,Y15-24,PTP_RT,FI	85.54 
A,F,Y15-24,PTP_RT,NO	73.61 
A,F,Y15-24,PTP_RT,RS	96.95 
A,F,Y15-24,PTP_TIME,AT	1:23 
A,F,Y15-24,PTP_TIME,BG	1:32 
A,F,Y15-24,PTP_TIME,DE	1:23 
A,F,Y15-24,PTP_TIME,EE	0:55 
A,F,Y15-24,PTP_TIME,FI	1:15 
A,F,Y15-24,PTP_TIME,NO	1:22 
A,F,Y15-24,PTP_TIME,RS	1:39 
A,F,Y15-24,TIME_SP,AT	1:12 
A,F,Y15-24,TIME_SP,BG	1:31 
A,F,Y15-24,TIME_SP,DE	1:13 
A,F,Y15-24,TIME_SP,EE	0:51 
A,F,Y15-24,TIME_SP,FI	1:04 
A,F,Y15-24,TIME_SP,NO	1:01 
A,F,Y15-24,TIME_SP,RS	1:36 
A,F,Y15-29,PTP_RT,AT	86.31 
A,F,Y15-29,PTP_RT,BG	98.97 
A,F,Y15-29,PTP_RT,DE	88.21 
A,F,Y15-29,PTP_RT,EE	93.26 
A,F,Y15-29,PTP_RT,FI	86.99 
A,F,Y15-29,PTP_RT,NO	75.06 
A,F,Y15-29,PTP_RT,RS	97.24 
A,F,Y15-29,PTP_TIME,AT	1:23 
A,F,Y15-29,PTP_TIME,BG	1:32 
A,F,Y15-29,PTP_TIME,DE	1:20 
A,F,Y15-29,PTP_TIME,EE	0:57 
A,F,Y15-29,PTP_TIME,FI	1:17 
A,F,Y15-29,PTP_TIME,NO	1:23 
A,F,Y15-29,PTP_TIME,RS	1:36 
A,F,Y15-29,TIME_SP,AT	1:11 
A,F,Y15-29,TIME_SP,BG	1:31 
A,F,Y15-29,TIME_SP,DE	1:11 
A,F,Y15-29,TIME_SP,EE	0:53 
A,F,Y15-29,TIME_SP,FI	1:07 
A,F,Y15-29,TIME_SP,NO	1:02 
A,F,Y15-29,TIME_SP,RS	1:33 
A,F,Y15-64,PTP_RT,AT	90.87 
A,F,Y15-64,PTP_RT,BG	98.69 
A,F,Y15-64,PTP_RT,DE	91.47 
A,F,Y15-64,PTP_RT,EE	93.88 
A,F,Y15-64,PTP_RT,FI	89.38 
A,F,Y15-64,PTP_RT,NO	79.65 
A,F,Y15-64,PTP_RT,RS	98.35 
A,F,Y15-64,PTP_TIME,AT	1:33 
A,F,Y15-64,PTP_TIME,BG	1:37 
A,F,Y15-64,PTP_TIME,DE	1:30 
A,F,Y15-64,PTP_TIME,EE	1:04 
A,F,Y15-64,PTP_TIME,FI	1:27 
A,F,Y15-64,PTP_TIME,NO	1:34 
A,F,Y15-64,PTP_TIME,RS	1:45 
A,F,Y15-64,TIME_SP,AT	1:24 
A,F,Y15-64,TIME_SP,BG	1:36 
A,F,Y15-64,TIME_SP,DE	1:23 
A,F,Y15-64,TIME_SP,EE	1:00 
A,F,Y15-64,TIME_SP,FI	1:18 
A,F,Y15-64,TIME_SP,NO	1:15 
A,F,Y15-64,TIME_SP,RS	1:43 
A,F,Y25-34,PTP_RT,AT	89.80 
A,F,Y25-34,PTP_RT,BG	98.73 
A,F,Y25-34,PTP_RT,DE	88.37 
A,F,Y25-34,PTP_RT,EE	94.89 
A,F,Y25-34,PTP_RT,FI	90.75 
A,F,Y25-34,PTP_RT,NO	79.09 
A,F,Y25-34,PTP_RT,RS	97.38 
A,F,Y25-34,PTP_TIME,AT	1:30 
A,F,Y25-34,PTP_TIME,BG	1:31 
A,F,Y25-34,PTP_TIME,DE	1:24 
A,F,Y25-34,PTP_TIME,EE	1:01 
A,F,Y25-34,PTP_TIME,FI	1:24 
A,F,Y25-34,PTP_TIME,NO	1:29 
A,F,Y25-34,PTP_TIME,RS	1:36 
A,F,Y25-34,TIME_SP,AT	1:20 
A,F,Y25-34,TIME_SP,BG	1:30 
A,F,Y25-34,TIME_SP,DE	1:14 
A,F,Y25-34,TIME_SP,EE	0:58 
A,F,Y25-34,TIME_SP,FI	1:17 
A,F,Y25-34,TIME_SP,NO	1:10 
A,F,Y25-34,TIME_SP,RS	1:33 
A,F,Y30-44,PTP_RT,AT	91.76 
A,F,Y30-44,PTP_RT,BG	98.22 
A,F,Y30-44,PTP_RT,DE	91.67 
A,F,Y30-44,PTP_RT,EE	93.07 
A,F,Y30-44,PTP_RT,FI	89.95 
A,F,Y30-44,PTP_RT,NO	81.27 
A,F,Y30-44,PTP_RT,RS	98.49 
A,F,Y30-44,PTP_TIME,AT	1:34 
A,F,Y30-44,PTP_TIME,BG	1:35 
A,F,Y30-44,PTP_TIME,DE	1:31 
A,F,Y30-44,PTP_TIME,EE	1:04 
A,F,Y30-44,PTP_TIME,FI	1:30 
A,F,Y30-44,PTP_TIME,NO	1:33 
A,F,Y30-44,PTP_TIME,RS	1:43 
A,F,Y30-44,TIME_SP,AT	1:26 
A,F,Y30-44,TIME_SP,BG	1:33 
A,F,Y30-44,TIME_SP,DE	1:24 
A,F,Y30-44,TIME_SP,EE	1:00 
A,F,Y30-44,TIME_SP,FI	1:21 
A,F,Y30-44,TIME_SP,NO	1:15 
A,F,Y30-44,TIME_SP,RS	1:41 
A,F,Y30-64,PTP_RT,AT	92.41 
A,F,Y30-64,PTP_RT,BG	98.62 
A,F,Y30-64,PTP_RT,DE	92.50 
A,F,Y30-64,PTP_RT,EE	94.07 
A,F,Y30-64,PTP_RT,FI	90.30 
A,F,Y30-64,PTP_RT,NO	81.48 
A,F,Y30-64,PTP_RT,RS	98.70 
A,F,Y30-64,PTP_TIME,AT	1:36 
A,F,Y30-64,PTP_TIME,BG	1:38 
A,F,Y30-64,PTP_TIME,DE	1:33 
A,F,Y30-64,PTP_TIME,EE	1:07 
A,F,Y30-64,PTP_TIME,FI	1:31 
A,F,Y30-64,PTP_TIME,NO	1:38 
A,F,Y30-64,PTP_TIME,RS	1:48 
A,F,Y30-64,TIME_SP,AT	1:28 
A,F,Y30-64,TIME_SP,BG	1:37 
A,F,Y30-64,TIME_SP,DE	1:26 
A,F,Y30-64,TIME_SP,EE	1:03 
A,F,Y30-64,TIME_SP,FI	1:22 
A,F,Y30-64,TIME_SP,NO	1:20 
A,F,Y30-64,TIME_SP,RS	1:46 
A,F,Y35-44,PTP_RT,AT	91.63 
A,F,Y35-44,PTP_RT,BG	98.09 
A,F,Y35-44,PTP_RT,DE	93.28 
A,F,Y35-44,PTP_RT,EE	92.39 
A,F,Y35-44,PTP_RT,FI	89.17 
A,F,Y35-44,PTP_RT,NO	81.89 
A,F,Y35-44,PTP_RT,RS	99.16 
A,F,Y35-44,PTP_TIME,AT	1:33 
A,F,Y35-44,PTP_TIME,BG	1:37 
A,F,Y35-44,PTP_TIME,DE	1:31 
A,F,Y35-44,PTP_TIME,EE	1:05 
A,F,Y35-44,PTP_TIME,FI	1:32 
A,F,Y35-44,PTP_TIME,NO	1:32 
A,F,Y35-44,PTP_TIME,RS	1:44 
A,F,Y35-44,TIME_SP,AT	1:25 
A,F,Y35-44,TIME_SP,BG	1:35 
A,F,Y35-44,TIME_SP,DE	1:25 
A,F,Y35-44,TIME_SP,EE	1:00 
A,F,Y35-44,TIME_SP,FI	1:22 
A,F,Y35-44,TIME_SP,NO	1:16 
A,F,Y35-44,TIME_SP,RS	1:43 
A,F,Y45-54,PTP_RT,AT	93.15 
A,F,Y45-54,PTP_RT,BG	98.83 
A,F,Y45-54,PTP_RT,DE	92.45 
A,F,Y45-54,PTP_RT,EE	95.96 
A,F,Y45-54,PTP_RT,FI	90.70 
A,F,Y45-54,PTP_RT,NO	82.54 
A,F,Y45-54,PTP_RT,RS	99.11 
A,F,Y45-54,PTP_TIME,AT	1:32 
A,F,Y45-54,PTP_TIME,BG	1:36 
A,F,Y45-54,PTP_TIME,DE	1:29 
A,F,Y45-54,PTP_TIME,EE	1:03 
A,F,Y45-54,PTP_TIME,FI	1:25 
A,F,Y45-54,PTP_TIME,NO	1:37 
A,F,Y45-54,PTP_TIME,RS	1:48 
A,F,Y45-54,TIME_SP,AT	1:26 
A,F,Y45-54,TIME_SP,BG	1:34 
A,F,Y45-54,TIME_SP,DE	1:23 
A,F,Y45-54,TIME_SP,EE	1:01 
A,F,Y45-54,TIME_SP,FI	1:17 
A,F,Y45-54,TIME_SP,NO	1:20 
A,F,Y45-54,TIME_SP,RS	1:47 
A,F,Y45-64,PTP_RT,AT	92.87 
A,F,Y45-64,PTP_RT,BG	98.88 
A,F,Y45-64,PTP_RT,DE	93.04 
A,F,Y45-64,PTP_RT,EE	94.83 
A,F,Y45-64,PTP_RT,FI	90.56 
A,F,Y45-64,PTP_RT,NO	81.64 
A,F,Y45-64,PTP_RT,RS	98.85 
A,F,Y45-64,PTP_TIME,AT	1:37 
A,F,Y45-64,PTP_TIME,BG	1:40 
A,F,Y45-64,PTP_TIME,DE	1:35 
A,F,Y45-64,PTP_TIME,EE	1:08 
A,F,Y45-64,PTP_TIME,FI	1:32 
A,F,Y45-64,PTP_TIME,NO	1:42 
A,F,Y45-64,PTP_TIME,RS	1:52 
A,F,Y45-64,TIME_SP,AT	1:30 
A,F,Y45-64,TIME_SP,BG	1:39 
A,F,Y45-64,TIME_SP,DE	1:28 
A,F,Y45-64,TIME_SP,EE	1:05 
A,F,Y45-64,TIME_SP,FI	1:23 
A,F,Y45-64,TIME_SP,NO	1:23 
A,F,Y45-64,TIME_SP,RS	1:50 
A,F,Y55-64,PTP_RT,AT	92.59 
A,F,Y55-64,PTP_RT,BG	98.93 
A,F,Y55-64,PTP_RT,DE	93.55 
A,F,Y55-64,PTP_RT,EE	93.74 
A,F,Y55-64,PTP_RT,FI	90.43 
A,F,Y55-64,PTP_RT,NO	80.48 
A,F,Y55-64,PTP_RT,RS	98.60 
A,F,Y55-64,PTP_TIME,AT	1:42 
A,F,Y55-64,PTP_TIME,BG	1:45 
A,F,Y55-64,PTP_TIME,DE	1:39 
A,F,Y55-64,PTP_TIME,EE	1:14 
A,F,Y55-64,PTP_TIME,FI	1:39 
A,F,Y55-64,PTP_TIME,NO	1:49 
A,F,Y55-64,PTP_TIME,RS	1:55 
A,F,Y55-64,TIME_SP,AT	1:34 
A,F,Y55-64,TIME_SP,BG	1:44 
A,F,Y55-64,TIME_SP,DE	1:33 
A,F,Y55-64,TIME_SP,EE	1:09 
A,F,Y55-64,TIME_SP,FI	1:29 
A,F,Y55-64,TIME_SP,NO	1:28 
A,F,Y55-64,TIME_SP,RS	1:53 
A,F,Y65-74,PTP_RT,AT	95.99 
A,F,Y65-74,PTP_RT,BG	99.00 
A,F,Y65-74,PTP_RT,DE	95.30 
A,F,Y65-74,PTP_RT,EE	96.21 
A,F,Y65-74,PTP_RT,FI	91.36 
A,F,Y65-74,PTP_RT,NO	87.07 
A,F,Y65-74,PTP_RT,RS	98.73 
A,F,Y65-74,PTP_TIME,AT	1:57 
A,F,Y65-74,PTP_TIME,BG	1:56 
A,F,Y65-74,PTP_TIME,DE	1:53 
A,F,Y65-74,PTP_TIME,EE	1:26 
A,F,Y65-74,PTP_TIME,FI	1:38 
A,F,Y65-74,PTP_TIME,NO	2:17 
A,F,Y65-74,PTP_TIME,RS	2:17 
A,F,Y65-74,TIME_SP,AT	1:53 
A,F,Y65-74,TIME_SP,BG	1:55 
A,F,Y65-74,TIME_SP,DE	1:48 
A,F,Y65-74,TIME_SP,EE	1:22 
A,F,Y65-74,TIME_SP,FI	1:30 
A,F,Y65-74,TIME_SP,NO	1:59 
A,F,Y65-74,TIME_SP,RS	2:15 
A,F,Y_GE60,PTP_RT,AT	96.32 
A,F,Y_GE60,PTP_RT,BG	99.21 
A,F,Y_GE60,PTP_RT,DE	95.35 
A,F,Y_GE60,PTP_RT,EE	96.39 
A,F,Y_GE60,PTP_RT,FI	92.91 
A,F,Y_GE60,PTP_RT,NO	86.68 
A,F,Y_GE60,PTP_RT,RS	98.62 
A,F,Y_GE60,PTP_TIME,AT	1:58 
A,F,Y_GE60,PTP_TIME,BG	1:56 
A,F,Y_GE60,PTP_TIME,DE	1:52 
A,F,Y_GE60,PTP_TIME,EE	1:23 
A,F,Y_GE60,PTP_TIME,FI	1:35 
A,F,Y_GE60,PTP_TIME,NO	2:17 
A,F,Y_GE60,PTP_TIME,RS	2:14 
A,F,Y_GE60,TIME_SP,AT	1:54 
A,F,Y_GE60,TIME_SP,BG	1:55 
A,F,Y_GE60,TIME_SP,DE	1:47 
A,F,Y_GE60,TIME_SP,EE	1:20 
A,F,Y_GE60,TIME_SP,FI	1:28 
A,F,Y_GE60,TIME_SP,NO	1:58 
A,F,Y_GE60,TIME_SP,RS	2:12 
A,F,Y_GE65,PTP_RT,AT	97.15 
A,F,Y_GE65,PTP_RT,BG	99.14 
A,F,Y_GE65,PTP_RT,DE	95.68 
A,F,Y_GE65,PTP_RT,EE	96.83 
A,F,Y_GE65,PTP_RT,FI	93.44 
A,F,Y_GE65,PTP_RT,NO	88.57 
A,F,Y_GE65,PTP_RT,RS	98.93 
A,F,Y_GE65,PTP_TIME,AT	2:00 
A,F,Y_GE65,PTP_TIME,BG	1:58 
