freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,PTP_RT,AT	24.21 
A,F,TOTAL,PTP_RT,BG	20.22 
A,F,TOTAL,PTP_RT,DE	22.94 
A,F,TOTAL,PTP_RT,EE	21.54 
A,F,TOTAL,PTP_RT,FI	21.48 
A,F,TOTAL,PTP_RT,NO	24.77 
A,F,TOTAL,PTP_RT,RS	23.04 
A,F,TOTAL,PTP_TIME,AT	2:44 
A,F,TOTAL,PTP_TIME,BG	2:31 
A,F,TOTAL,PTP_TIME,DE	2:43 
A,F,TOTAL,PTP_TIME,EE	2:25 
A,F,TOTAL,PTP_TIME,FI	2:11 
A,F,TOTAL,PTP_TIME,NO	2:29 
A,F,TOTAL,PTP_TIME,RS	2:28 
A,F,TOTAL,TIME_SP,AT	0:40 
A,F,TOTAL,TIME_SP,BG	0:31 
A,F,TOTAL,TIME_SP,DE	0:37 
A,F,TOTAL,TIME_SP,EE	0:31 
A,F,TOTAL,TIME_SP,FI	0:28 
A,F,TOTAL,TIME_SP,NO	0:37 
A,F,TOTAL,TIME_SP,RS	0:34 
A,F,Y15-29,PTP_RT,AT	11.83 
A,F,Y15-29,PTP_RT,BG	29.44 
A,F,Y15-29,PTP_RT,DE	12.79 
A,F,Y15-29,PTP_RT,EE	13.99 
A,F,Y15-29,PTP_RT,FI	12.76 
A,F,Y15-29,PTP_RT,NO	11.73 
A,F,Y15-29,PTP_RT,RS	17.37 
A,F,Y15-29,PTP_TIME,AT	3:31 
A,F,Y15-29,PTP_TIME,BG	4:29 
A,F,Y15-29,PTP_TIME,DE	3:43 
A,F,Y15-29,PTP_TIME,EE	3:41 
A,F,Y15-29,PTP_TIME,FI	2:35 
A,F,Y15-29,PTP_TIME,NO	3:14 
A,F,Y15-29,PTP_TIME,RS	3:12 
A,F,Y15-29,TIME_SP,AT	0:25 
A,F,Y15-29,TIME_SP,BG	1:19 
A,F,Y15-29,TIME_SP,DE	0:29 
A,F,Y15-29,TIME_SP,EE	0:31 
A,F,Y15-29,TIME_SP,FI	0:20 
A,F,Y15-29,TIME_SP,NO	0:23 
A,F,Y15-29,TIME_SP,RS	0:33 
A,F,Y30-44,PTP_RT,AT	53.97 
A,F,Y30-44,PTP_RT,BG	45.04 
A,F,Y30-44,PTP_RT,DE	55.15 
A,F,Y30-44,PTP_RT,EE	54.66 
A,F,Y30-44,PTP_RT,FI	49.50 
A,F,Y30-44,PTP_RT,NO	51.86 
A,F,Y30-44,PTP_RT,RS	46.16 
A,F,Y30-44,PTP_TIME,AT	3:10 
