freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,PTP_RT,AT	88.55 
A,F,TOTAL,PTP_RT,BG	94.38 
A,F,TOTAL,PTP_RT,DE	91.22 
A,F,TOTAL,PTP_RT,EE	92.32 
A,F,TOTAL,PTP_RT,FI	92.89 
A,F,TOTAL,PTP_RT,NO	88.08 
A,F,TOTAL,PTP_RT,RS	93.17 
A,F,TOTAL,PTP_TIME,AT	3:40 
A,F,TOTAL,PTP_TIME,BG	4:05 
A,F,TOTAL,PTP_TIME,DE	3:29 
A,F,TOTAL,PTP_TIME,EE	3:18 
A,F,TOTAL,PTP_TIME,FI	3:18 
A,F,TOTAL,PTP_TIME,NO	3:19 
A,F,TOTAL,PTP_TIME,RS	4:01 
A,F,TOTAL,TIME_SP,AT	3:14 
A,F,TOTAL,TIME_SP,BG	3:51 
A,F,TOTAL,TIME_SP,DE	3:11 
A,F,TOTAL,TIME_SP,EE	3:03 
A,F,TOTAL,TIME_SP,FI	3:04 
A,F,TOTAL,TIME_SP,NO	2:55 
A,F,TOTAL,TIME_SP,RS	3:44 
A,F,Y10-14,PTP_RT,AT	49.45 
A,F,Y10-14,PTP_RT,BG	65.40 
A,F,Y10-14,PTP_RT,DE	64.18 
A,F,Y10-14,PTP_RT,EE	71.80 
A,F,Y10-14,PTP_RT,FI	70.08 
A,F,Y10-14,PTP_RT,NO	66.03 
A,F,Y10-14,PTP_TIME,AT	1:43 
A,F,Y10-14,PTP_TIME,BG	1:21 
A,F,Y10-14,PTP_TIME,DE	1:36 
A,F,Y10-14,PTP_TIME,EE	1:33 
A,F,Y10-14,PTP_TIME,FI	1:26 
A,F,Y10-14,PTP_TIME,NO	1:47 
A,F,Y10-14,TIME_SP,AT	0:51 
A,F,Y10-14,TIME_SP,BG	0:53 
A,F,Y10-14,TIME_SP,DE	1:01 
A,F,Y10-14,TIME_SP,EE	1:07 
A,F,Y10-14,TIME_SP,FI	1:00 
A,F,Y10-14,TIME_SP,NO	1:11 
A,F,Y15-24,PTP_RT,AT	68.94 
A,F,Y15-24,PTP_RT,BG	84.63 
A,F,Y15-24,PTP_RT,DE	76.22 
A,F,Y15-24,PTP_RT,EE	83.42 
A,F,Y15-24,PTP_RT,FI	83.40 
A,F,Y15-24,PTP_RT,NO	73.36 
A,F,Y15-24,PTP_RT,RS	83.47 
A,F,Y15-24,PTP_TIME,AT	2:06 
A,F,Y15-24,PTP_TIME,BG	2:22 
A,F,Y15-24,PTP_TIME,DE	2:13 
A,F,Y15-24,PTP_TIME,EE	1:58 
A,F,Y15-24,PTP_TIME,FI	2:10 
A,F,Y15-24,PTP_TIME,NO	2:06 
A,F,Y15-24,PTP_TIME,RS	2:00 
