freq,age,sex,unit,geo\TIME_PERIOD	2020 
A,TOTAL,F,PTP_RT,AT	89.64 
A,TOTAL,F,PTP_RT,BG	94.72 
A,TOTAL,F,PTP_RT,DE	92.43 
A,TOTAL,F,PTP_RT,EE	92.79 
A,TOTAL,F,PTP_RT,FI	93.91 
A,TOTAL,F,PTP_RT,NO	89.51 
A,TOTAL,F,PTP_RT,RS	93.65 
A,TOTAL,F,PTP_TIME,AT	4:21 
A,TOTAL,F,PTP_TIME,BG	4:35 
A,TOTAL,F,PTP_TIME,DE	4:12 
A,TOTAL,F,PTP_TIME,EE	3:50 
A,TOTAL,F,PTP_TIME,FI	3:47 
A,TOTAL,F,PTP_TIME,NO	3:57 
A,TOTAL,F,PTP_TIME,RS	4:36 
A,TOTAL,F,TIME_SP,AT	3:54 
A,TOTAL,F,TIME_SP,BG	4:20 
A,TOTAL,F,TIME_SP,DE	3:53 
A,TOTAL,F,TIME_SP,EE	3:33 
A,TOTAL,F,TIME_SP,FI	3:34 
A,TOTAL,F,TIME_SP,NO	3:32 
A,TOTAL,F,TIME_SP,RS	4:19 
A,TOTAL,M,PTP_RT,AT	75.57 
A,TOTAL,M,PTP_RT,BG	80.13 
A,TOTAL,M,PTP_RT,DE	83.72 
A,TOTAL,M,PTP_RT,EE	83.39 
A,TOTAL,M,PTP_RT,FI	85.90 
A,TOTAL,M,PTP_RT,NO	77.83 
A,TOTAL,M,PTP_RT,RS	78.01 
A,TOTAL,M,PTP_TIME,AT	3:05 
A,TOTAL,M,PTP_TIME,BG	2:49 
A,TOTAL,M,PTP_TIME,DE	3:13 
A,TOTAL,M,PTP_TIME,EE	2:52 
A,TOTAL,M,PTP_TIME,FI	3:13 
A,TOTAL,M,PTP_TIME,NO	3:28 
A,TOTAL,M,PTP_TIME,RS	2:49 
A,TOTAL,M,TIME_SP,AT	2:20 
A,TOTAL,M,TIME_SP,BG	2:16 
A,TOTAL,M,TIME_SP,DE	2:41 
A,TOTAL,M,TIME_SP,EE	2:23 
A,TOTAL,M,TIME_SP,FI	2:46 
A,TOTAL,M,TIME_SP,NO	2:42 
A,TOTAL,M,TIME_SP,RS	2:12 
A,TOTAL,T,PTP_RT,AT	82.72 
A,TOTAL,T,PTP_RT,BG	87.77 
A,TOTAL,T,PTP_RT,DE	88.15 
A,TOTAL,T,PTP_RT,EE	88.39 
A,TOTAL,T,PTP_RT,FI	89.99 
A,TOTAL,T,PTP_RT,NO	83.59 
A,TOTAL,T,PTP_RT,RS	86.10 
A,TOTAL,T,PTP_TIME,AT	3:47 
A,TOTAL,T,PTP_TIME,BG	3:49 
A,TOTAL,T,PTP_TIME,DE	3:44 
A,TOTAL,T,PTP_TIME,EE	3:24 
A,TOTAL,T,PTP_TIME,FI	3:31 
A,TOTAL,T,PTP_TIME,NO	3:43 
A,TOTAL,T,PTP_TIME,RS	3:50 
A,TOTAL,T,TIME_SP,AT	3:08 
A,TOTAL,T,TIME_SP,BG	3:21 
A,TOTAL,T,TIME_SP,DE	3:18 
A,TOTAL,T,TIME_SP,EE	3:00 
A,TOTAL,T,TIME_SP,FI	3:10 
A,TOTAL,T,TIME_SP,NO	3:07 
A,TOTAL,T,TIME_SP,RS	3:18 
A,Y10-14,F,PTP_RT,AT	50.51 
A,Y10-14,F,PTP_RT,BG	66.41 
A,Y10-14,F,PTP_RT,DE	65.29 
A,Y10-14,F,PTP_RT,EE	72.93 
A,Y10-14,F,PTP_RT,FI	73.82 
A,Y10-14,F,PTP_RT,NO	68.60 
A,Y10-14,F,PTP_TIME,AT	1:44 
A,Y10-14,F,PTP_TIME,BG	1:23 
A,Y10-14,F,PTP_TIME,DE	1:40 
A,Y10-14,F,PTP_TIME,EE	1:37 
A,Y10-14,F,PTP_TIME,FI	1:31 
A,Y10-14,F,PTP_TIME,NO	1:51 
A,Y10-14,F,TIME_SP,AT	0:52 
A,Y10-14,F,TIME_SP,BG	0:55 
A,Y10-14,F,TIME_SP,DE	1:05 
A,Y10-14,F,TIME_SP,EE	1:10 
A,Y10-14,F,TIME_SP,FI	1:07 
A,Y10-14,F,TIME_SP,NO	1:16 
A,Y10-14,M,PTP_RT,AT	47.67 
A,Y10-14,M,PTP_RT,BG	54.22 
A,Y10-14,M,PTP_RT,DE	56.34 
A,Y10-14,M,PTP_RT,EE	57.50 
A,Y10-14,M,PTP_RT,FI	48.25 
A,Y10-14,M,PTP_RT,NO	51.20 
A,Y10-14,M,PTP_TIME,AT	1:35 
A,Y10-14,M,PTP_TIME,BG	0:59 
