freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,PTP_RT,AT	89.52 
A,F,TOTAL,PTP_RT,BG	96.53 
A,F,TOTAL,PTP_RT,DE	90.64 
A,F,TOTAL,PTP_RT,EE	93.34 
A,F,TOTAL,PTP_RT,FI	95.53 
A,F,TOTAL,PTP_RT,NO	87.09 
A,F,TOTAL,PTP_RT,RS	95.91 
A,F,TOTAL,PTP_TIME,AT	3:14 
A,F,TOTAL,PTP_TIME,BG	3:30 
A,F,TOTAL,PTP_TIME,DE	3:36 
A,F,TOTAL,PTP_TIME,EE	3:19 
A,F,TOTAL,PTP_TIME,FI	3:48 
A,F,TOTAL,PTP_TIME,NO	3:49 
A,F,TOTAL,PTP_TIME,RS	3:32 
A,F,TOTAL,TIME_SP,AT	2:54 
A,F,TOTAL,TIME_SP,BG	3:22 
A,F,TOTAL,TIME_SP,DE	3:16 
A,F,TOTAL,TIME_SP,EE	3:06 
A,F,TOTAL,TIME_SP,FI	3:38 
A,F,TOTAL,TIME_SP,NO	3:19 
A,F,TOTAL,TIME_SP,RS	3:23 
A,F,Y10-14,PTP_RT,AT	82.75 
A,F,Y10-14,PTP_RT,BG	94.82 
A,F,Y10-14,PTP_RT,DE	87.24 
A,F,Y10-14,PTP_RT,EE	82.77 
A,F,Y10-14,PTP_RT,FI	88.80 
A,F,Y10-14,PTP_RT,NO	86.23 
A,F,Y10-14,PTP_TIME,AT	2:44 
A,F,Y10-14,PTP_TIME,BG	3:01 
A,F,Y10-14,PTP_TIME,DE	3:19 
A,F,Y10-14,PTP_TIME,EE	3:29 
A,F,Y10-14,PTP_TIME,FI	3:13 
A,F,Y10-14,PTP_TIME,NO	4:15 
A,F,Y10-14,TIME_SP,AT	2:15 
A,F,Y10-14,TIME_SP,BG	2:52 
A,F,Y10-14,TIME_SP,DE	2:54 
A,F,Y10-14,TIME_SP,EE	2:53 
A,F,Y10-14,TIME_SP,FI	2:52 
A,F,Y10-14,TIME_SP,NO	3:40 
A,F,Y15-24,PTP_RT,AT	85.96 
A,F,Y15-24,PTP_RT,BG	95.67 
A,F,Y15-24,PTP_RT,DE	85.79 
A,F,Y15-24,PTP_RT,EE	91.77 
A,F,Y15-24,PTP_RT,FI	95.62 
A,F,Y15-24,PTP_RT,NO	86.97 
A,F,Y15-24,PTP_RT,RS	96.06 
A,F,Y15-24,PTP_TIME,AT	3:23 
A,F,Y15-24,PTP_TIME,BG	3:08 
A,F,Y15-24,PTP_TIME,DE	3:43 
A,F,Y15-24,PTP_TIME,EE	3:40 
A,F,Y15-24,PTP_TIME,FI	4:42 
A,F,Y15-24,PTP_TIME,NO	4:01 
A,F,Y15-24,PTP_TIME,RS	3:33 
A,F,Y15-24,TIME_SP,AT	2:55 
A,F,Y15-24,TIME_SP,BG	3:00 
A,F,Y15-24,TIME_SP,DE	3:11 
A,F,Y15-24,TIME_SP,EE	3:22 
A,F,Y15-24,TIME_SP,FI	4:30 
A,F,Y15-24,TIME_SP,NO	3:29 
A,F,Y15-24,TIME_SP,RS	3:24 
A,F,Y15-29,PTP_RT,AT	85.65 
A,F,Y15-29,PTP_RT,BG	94.01 
A,F,Y15-29,PTP_RT,DE	85.63 
A,F,Y15-29,PTP_RT,EE	93.54 
A,F,Y15-29,PTP_RT,FI	95.60 
A,F,Y15-29,PTP_RT,NO	86.89 
A,F,Y15-29,PTP_RT,RS	94.41 
A,F,Y15-29,PTP_TIME,AT	3:17 
A,F,Y15-29,PTP_TIME,BG	2:57 
A,F,Y15-29,PTP_TIME,DE	3:33 
A,F,Y15-29,PTP_TIME,EE	3:25 
A,F,Y15-29,PTP_TIME,FI	4:16 
A,F,Y15-29,PTP_TIME,NO	3:56 
A,F,Y15-29,PTP_TIME,RS	3:16 
A,F,Y15-29,TIME_SP,AT	2:48 
A,F,Y15-29,TIME_SP,BG	2:46 
A,F,Y15-29,TIME_SP,DE	3:02 
A,F,Y15-29,TIME_SP,EE	3:12 
A,F,Y15-29,TIME_SP,FI	4:04 
A,F,Y15-29,TIME_SP,NO	3:25 
A,F,Y15-29,TIME_SP,RS	3:05 
A,F,Y15-64,PTP_RT,AT	88.06 
A,F,Y15-64,PTP_RT,BG	95.62 
A,F,Y15-64,PTP_RT,DE	89.09 
A,F,Y15-64,PTP_RT,EE	92.88 
A,F,Y15-64,PTP_RT,FI	94.89 
A,F,Y15-64,PTP_RT,NO	85.88 
A,F,Y15-64,PTP_RT,RS	94.90 
A,F,Y15-64,PTP_TIME,AT	3:04 
A,F,Y15-64,PTP_TIME,BG	3:00 
A,F,Y15-64,PTP_TIME,DE	3:23 
