freq,sex,age,unit,geo\TIME_PERIOD	2020 
A,F,TOTAL,PTP_RT,AT	85.11 
A,F,TOTAL,PTP_RT,BG	91.02 
A,F,TOTAL,PTP_RT,DE	89.93 
A,F,TOTAL,PTP_RT,EE	82.39 
A,F,TOTAL,PTP_RT,FI	86.59 
A,F,TOTAL,PTP_RT,NO	86.42 
A,F,TOTAL,PTP_RT,RS	89.46 
A,F,TOTAL,PTP_TIME,AT	4:23 
A,F,TOTAL,PTP_TIME,BG	3:17 
A,F,TOTAL,PTP_TIME,DE	5:00 
A,F,TOTAL,PTP_TIME,EE	3:43 
A,F,TOTAL,PTP_TIME,FI	4:02 
A,F,TOTAL,PTP_TIME,NO	5:13 
A,F,TOTAL,PTP_TIME,RS	3:26 
A,F,TOTAL,TIME_SP,AT	3:44 
A,F,TOTAL,TIME_SP,BG	2:59 
A,F,TOTAL,TIME_SP,DE	4:29 
A,F,TOTAL,TIME_SP,EE	3:03 
A,F,TOTAL,TIME_SP,FI	3:30 
A,F,TOTAL,TIME_SP,NO	4:31 
A,F,TOTAL,TIME_SP,RS	3:04 
A,F,Y10-14,PTP_RT,AT	70.69 
A,F,Y10-14,PTP_RT,BG	87.43 
A,F,Y10-14,PTP_RT,DE	83.94 
A,F,Y10-14,PTP_RT,EE	72.22 
A,F,Y10-14,PTP_RT,FI	82.19 
A,F,Y10-14,PTP_RT,NO	78.85 
A,F,Y10-14,PTP_TIME,AT	3:44 
A,F,Y10-14,PTP_TIME,BG	2:36 
A,F,Y10-14,PTP_TIME,DE	4:13 
A,F,Y10-14,PTP_TIME,EE	3:03 
A,F,Y10-14,PTP_TIME,FI	3:04 
A,F,Y10-14,PTP_TIME,NO	4:17 
A,F,Y10-14,TIME_SP,AT	2:39 
A,F,Y10-14,TIME_SP,BG	2:16 
A,F,Y10-14,TIME_SP,DE	3:32 
A,F,Y10-14,TIME_SP,EE	2:12 
A,F,Y10-14,TIME_SP,FI	2:31 
A,F,Y10-14,TIME_SP,NO	3:22 
A,F,Y15-24,PTP_RT,AT	85.23 
A,F,Y15-24,PTP_RT,BG	94.24 
A,F,Y15-24,PTP_RT,DE	86.56 
A,F,Y15-24,PTP_RT,EE	85.96 
A,F,Y15-24,PTP_RT,FI	92.36 
A,F,Y15-24,PTP_RT,NO	84.82 
A,F,Y15-24,PTP_RT,RS	88.17 
A,F,Y15-24,PTP_TIME,AT	4:45 
A,F,Y15-24,PTP_TIME,BG	3:43 
A,F,Y15-24,PTP_TIME,DE	5:08 
A,F,Y15-24,PTP_TIME,EE	3:41 
A,F,Y15-24,PTP_TIME,FI	4:55 
A,F,Y15-24,PTP_TIME,NO	4:58 
A,F,Y15-24,PTP_TIME,RS	3:44 
A,F,Y15-24,TIME_SP,AT	4:03 
A,F,Y15-24,TIME_SP,BG	3:30 
A,F,Y15-24,TIME_SP,DE	4:26 
A,F,Y15-24,TIME_SP,EE	3:10 
A,F,Y15-24,TIME_SP,FI	4:32 
A,F,Y15-24,TIME_SP,NO	4:13 
A,F,Y15-24,TIME_SP,RS	3:17 
A,F,Y15-29,PTP_RT,AT	87.11 
A,F,Y15-29,PTP_RT,BG	93.56 
A,F,Y15-29,PTP_RT,DE	87.98 
A,F,Y15-29,PTP_RT,EE	88.78 
A,F,Y15-29,PTP_RT,FI	94.21 
A,F,Y15-29,PTP_RT,NO	86.02 
A,F,Y15-29,PTP_RT,RS	89.21 
A,F,Y15-29,PTP_TIME,AT	4:52 
A,F,Y15-29,PTP_TIME,BG	3:44 
A,F,Y15-29,PTP_TIME,DE	5:09 
A,F,Y15-29,PTP_TIME,EE	3:56 
A,F,Y15-29,PTP_TIME,FI	4:48 
A,F,Y15-29,PTP_TIME,NO	4:53 
A,F,Y15-29,PTP_TIME,RS	3:39 
A,F,Y15-29,TIME_SP,AT	4:15 
A,F,Y15-29,TIME_SP,BG	3:29 
A,F,Y15-29,TIME_SP,DE	4:32 
A,F,Y15-29,TIME_SP,EE	3:30 
A,F,Y15-29,TIME_SP,FI	4:32 
A,F,Y15-29,TIME_SP,NO	4:12 
A,F,Y15-29,TIME_SP,RS	3:16 
A,F,Y15-64,PTP_RT,AT	86.59 
A,F,Y15-64,PTP_RT,BG	93.21 
A,F,Y15-64,PTP_RT,DE	89.79 
A,F,Y15-64,PTP_RT,EE	87.07 
A,F,Y15-64,PTP_RT,FI	92.15 
A,F,Y15-64,PTP_RT,NO	86.41 
A,F,Y15-64,PTP_RT,RS	91.50 
A,F,Y15-64,PTP_TIME,AT	4:40 
A,F,Y15-64,PTP_TIME,BG	3:18 
A,F,Y15-64,PTP_TIME,DE	5:12 
A,F,Y15-64,PTP_TIME,EE	3:48 
A,F,Y15-64,PTP_TIME,FI	4:22 
A,F,Y15-64,PTP_TIME,NO	5:06 
A,F,Y15-64,PTP_TIME,RS	3:27 
A,F,Y15-64,TIME_SP,AT	4:02 
A,F,Y15-64,TIME_SP,BG	3:04 
A,F,Y15-64,TIME_SP,DE	4:40 
A,F,Y15-64,TIME_SP,EE	3:19 
A,F,Y15-64,TIME_SP,FI	4:02 
A,F,Y15-64,TIME_SP,NO	4:24 
A,F,Y15-64,TIME_SP,RS	3:10 
A,F,Y25-34,PTP_RT,AT	89.84 
A,F,Y25-34,PTP_RT,BG	90.42 
A,F,Y25-34,PTP_RT,DE	90.43 
A,F,Y25-34,PTP_RT,EE	93.97 
A,F,Y25-34,PTP_RT,FI	93.88 
A,F,Y25-34,PTP_RT,NO	85.80 
A,F,Y25-34,PTP_RT,RS	93.09 
A,F,Y25-34,PTP_TIME,AT	5:16 
A,F,Y25-34,PTP_TIME,BG	3:19 
A,F,Y25-34,PTP_TIME,DE	5:36 
A,F,Y25-34,PTP_TIME,EE	4:26 
A,F,Y25-34,PTP_TIME,FI	4:36 
A,F,Y25-34,PTP_TIME,NO	5:10 
A,F,Y25-34,PTP_TIME,RS	3:30 
A,F,Y25-34,TIME_SP,AT	4:44 
A,F,Y25-34,TIME_SP,BG	3:00 
A,F,Y25-34,TIME_SP,DE	5:04 
A,F,Y25-34,TIME_SP,EE	4:10 
A,F,Y25-34,TIME_SP,FI	4:20 
A,F,Y25-34,TIME_SP,NO	4:26 
A,F,Y25-34,TIME_SP,RS	3:15 
A,F,Y30-44,PTP_RT,AT	87.72 
A,F,Y30-44,PTP_RT,BG	92.18 
A,F,Y30-44,PTP_RT,DE	91.48 
A,F,Y30-44,PTP_RT,EE	90.55 
A,F,Y30-44,PTP_RT,FI	90.18 
A,F,Y30-44,PTP_RT,NO	87.22 
A,F,Y30-44,PTP_RT,RS	94.04 
A,F,Y30-44,PTP_TIME,AT	4:59 
A,F,Y30-44,PTP_TIME,BG	3:10 
A,F,Y30-44,PTP_TIME,DE	5:46 
A,F,Y30-44,PTP_TIME,EE	4:01 
A,F,Y30-44,PTP_TIME,FI	4:27 
A,F,Y30-44,PTP_TIME,NO	5:16 
A,F,Y30-44,PTP_TIME,RS	3:25 
