freq,age,sex,unit,geo\TIME_PERIOD	2020 
A,TOTAL,F,PTP_RT,AT	92.53 
A,TOTAL,F,PTP_RT,BG	95.60 
A,TOTAL,F,PTP_RT,DE	94.65 
A,TOTAL,F,PTP_RT,EE	95.04 
A,TOTAL,F,PTP_RT,FI	95.67 
A,TOTAL,F,PTP_RT,NO	93.15 
A,TOTAL,F,PTP_RT,RS	95.98 
A,TOTAL,F,PTP_TIME,AT	6:37 
A,TOTAL,F,PTP_TIME,BG	7:17 
A,TOTAL,F,PTP_TIME,DE	6:23 
A,TOTAL,F,PTP_TIME,EE	6:45 
A,TOTAL,F,PTP_TIME,FI	5:50 
A,TOTAL,F,PTP_TIME,NO	6:39 
A,TOTAL,F,PTP_TIME,RS	6:59 
A,TOTAL,F,TIME_SP,AT	6:07 
A,TOTAL,F,TIME_SP,BG	6:58 
A,TOTAL,F,TIME_SP,DE	6:02 
A,TOTAL,F,TIME_SP,EE	6:25 
A,TOTAL,F,TIME_SP,FI	5:35 
A,TOTAL,F,TIME_SP,NO	6:11 
A,TOTAL,F,TIME_SP,RS	6:42 
A,TOTAL,M,PTP_RT,AT	87.23 
A,TOTAL,M,PTP_RT,BG	90.00 
A,TOTAL,M,PTP_RT,DE	90.73 
A,TOTAL,M,PTP_RT,EE	90.99 
A,TOTAL,M,PTP_RT,FI	90.96 
A,TOTAL,M,PTP_RT,NO	88.05 
A,TOTAL,M,PTP_RT,RS	91.05 
A,TOTAL,M,PTP_TIME,AT	6:47 
A,TOTAL,M,PTP_TIME,BG	6:30 
A,TOTAL,M,PTP_TIME,DE	6:25 
A,TOTAL,M,PTP_TIME,EE	6:45 
A,TOTAL,M,PTP_TIME,FI	5:57 
A,TOTAL,M,PTP_TIME,NO	7:16 
A,TOTAL,M,PTP_TIME,RS	6:45 
A,TOTAL,M,TIME_SP,AT	5:55 
A,TOTAL,M,TIME_SP,BG	5:51 
A,TOTAL,M,TIME_SP,DE	5:49 
A,TOTAL,M,TIME_SP,EE	6:08 
A,TOTAL,M,TIME_SP,FI	5:25 
A,TOTAL,M,TIME_SP,NO	6:24 
